EffSize,Efficiency,Constraint,Hierarchy,Size(in),Ties(in),Pairs(in),Densit(in),nWeakC(in),pWeakC(in),2StepR(in),ReachE(in),Broker(in),nBroke(in),EgoBet(in),nEgoBe(in),Size(out),Ties(out),Pairs(out),Densit(out),nWeakC(out),pWeakC(out),2StepR(out),ReachE(out),Broker(out),nBroke(out),EgoBet(out),nEgoBe(out),Size(un),Ties(un),Pairs(un),Densit(un),nWeakC(un),pWeakC(un),2StepR(un),ReachE(un),Broker(un),nBroke(un),EgoBet(un),nEgoBe(un),OutDeg,Indeg,nOutdeg,nIndeg,Degree,nDegree,Eigenvec,nEigenvec,Power,inFarness,outFarness,InClose,OutClose,Between,nBetweenness,Inforcent,OutdwReach,IndwReach,nOutdwReach,nIndwReach,EffSize(g),Efficiency(g),Constraint(g),Hierarchy(g),CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,label,defect
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,1.010857344,100,0,0,0,0,1,0,0,0,1,100,1.010857344,100,0,0,0,0,3,0,3.29E-07,0,3,3.29E-05,1.79E-08,2.53E-06,3,7136912,7123563,0.037425149,0.037495282,0,0,2.04E-14,3.666666508,1,0.001372255,0.000374252,1,1,1,1,3,51,315,17,0,1,0,34,8,56,1,3,8,4,70,1,4,33,54,0,4,18,1,142,33,4,58,228,88,0.31,25,146,17,115,3,3,9,43,1,0,1,1,7,5,4,26,13,4,3120,807.75,1,6,4.166666667,0,0,0
2,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,100,19.20628929,95,1,0.5,0,0,2,0,2,0,2,100,19.20628929,95,1,0.5,0,0,2,0,2.20E-07,0,2,2.20E-05,4.39E-06,0.000621,2,7136912,7131570,0.037425149,0.037453182,0,0,2.04E-14,3,1,0.001122755,0.000374252,2,1,0.5,0,0,12,233,8,3,2,4,29,4,19,3,4,4,8,63,1,8,28,41,0,0,8,5,77,28,17,41,128,52,0.49,42,93,8,63,2,5,4,56,2,0,2,1,4,2.5,0,8,5.25,1,65,10.875,1,3,1.9,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,26.80644035,100,0,0,0,0,1,0,0,0,1,100,26.80644035,100,0,0,0,0,1,0,1.10E-07,0,1,1.10E-05,1.03E-07,1.46E-05,1,7136912,7126233,0.037425149,0.037481233,0,0,2.04E-14,3.166666508,1,0.00118513,0.000374252,1,1,1,1,20,22,1249,13,0,2,0,136,5,34,1,7,5,23,542,1,23,107,98,0,13,25,3,382,107,57,84,545,270,0.99,165,354,13,246,5,22,6,89,1,0,0,1,9,4.52173913,0,18,5.434782609,2,113,12.43478261,1,4,1.48,0,2,1
1,1,1,1,1,0,0,0,1,100,0.03743916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,0.03743916,0,0,0,0,0,0,8,0,8.78E-07,8,8.78E-05,0,0,0,7134241,7136912,0.03743916,0.037425149,0,0,-1.68E-15,1,2,0.000374252,0.000748503,1,1,1,1,4,7,222,2,0,1,3,12,1,12,2,4,1,9,94,1,9,11,47,0,1,3,5,39,11,9,39,91,15,1.03,37,54,2,42,1,7,1,86,1,0,0,1,4,3.111111111,1,8,3.222222222,1,2,1.222222222,1,1,0.363636364,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,0.03743916,0,0,0,0,0,1,0,0,0,1,100,0.03743916,0,0,0,0,0,8,0,8.78E-07,0,8,8.78E-05,0,0,8,7136912,7134241,0.037425149,0.03743916,0,0,-1.68E-15,2,1,0.000748503,0.000374252,1,1,1,1,52,10,1580,7,0,1,53,113,2,15,1,3,2,73,481,3,73,112,413,0,17,7,21,502,112,85,360,850,235,0.57,251,595,7,480,1,72,2,97,2,0,3,1,18,4.424657534,1,22,4.383561644,0,17,1.95890411,1,3,0.454545455,0,0,0
3.666666746,0.916666687,0.402777791,0.236319393,0,0,0,0,0,0,0,0,0,0,0,0,4,1,12,8.333333015,3,75,28.64095879,54.68191528,5.5,0.458333343,0,0,4,1,12,8.333333015,3,75,28.64095879,54.68191528,5.5,0.458333343,0,0,6,0,6.59E-07,0,6,6.59E-05,2.23E-06,0.000315,6,7136912,7072834,0.037425149,0.03776421,0,0,2.04E-14,14.28333378,1,0.005345559,0.000374252,3.915876865,0.978969216,0.333419502,0.395933628,0,46,741,42,0,5,1,135,10,56,1,4,10,11,91,1,11,109,98,8,27,60,3,335,109,59,106,547,238,0.17,104,344,42,236,6,10,12,80,1,0,3,1,24,7.363636364,2,23,10.90909091,2,197416,18111.27273,1,8,3.857142857,0,0,0
2,1,0.680000007,0.677243173,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,100,0.44926995,92.30769348,1,0.5,0,0,2,0,2,0,2,100,0.44926995,92.30769348,1,0.5,0,0,10,0,1.10E-06,0,10,0.00011,8.93E-10,1.26E-07,10,7136912,7131570,0.037425149,0.037453182,0,0,2.04E-14,3,1,0.001122755,0.000374252,2,1,0.680000007,0.677243173,2,13,186,3,0,1,12,5,2,18,1,2,2,3,78,1,3,5,36,0,3,3,1,67,5,3,34,86,23,0.91,24,57,3,51,3,2,2,57,1,0,2,1,16,9.333333333,3,9,6,4,3,1.666666667,1,1,0.666666667,0,0,0
2,1,0.942906499,0.989420056,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,100,19.20628929,85.21595001,1,0.5,0,0,2,0,2,0,2,100,19.20628929,85.21595001,1,0.5,0,0,68,0,7.47E-06,0,68,0.000747,0.000289,0.0409,68,7136912,7120891,0.037425149,0.037509352,0,0,2.04E-14,4.833333492,1,0.001808882,0.000374252,2,1,0.942906499,0.989420056,0,47,249,8,2,2,1,17,4,66,3,9,4,3,56,1,3,12,26,0,0,8,1,124,12,7,27,151,103,0.37,42,130,8,118,9,0,6,33,1,0,2,1,66,23.33333333,1,19,7.666666667,1,60,21.33333333,1,2,1.4,0,0,0
1,1,1,1,1,0,0,0,1,100,1.160614014,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,1.160614014,100,0,0,0,0,0,1,0,1.10E-07,1,1.10E-05,7.54E-09,1.07E-06,0,6605836,7136912,0.040433943,0.037425149,0,0,2.04E-14,1,65.54994965,0.000374252,0.024532167,1,1,1,1,1,16,165,5,0,1,4,10,3,32,1,13,3,3,83,1,3,9,27,0,0,5,2,36,9,3,23,60,18,1.38,22,41,5,32,3,2,3,66,1,0,0,2,7,2.666666667,0,11,6,1,5,3,1,4,3,0,0,0
32.57286453,0.880347669,0.153216347,0.222946867,19,51,342,14.91228104,1,5.263157845,5.01684761,28.32980919,145.5,0.425438583,81.09999847,23.71344948,22,95,462,20.56277084,2,9.090909004,50.91725922,44.45897293,183.5,0.39718616,78.06349182,16.89686012,37,237,1332,17.79279327,2,5.405405521,51.25421143,40.33588791,547.5,0.411036044,299.8118896,22.50840187,102,97,1.12E-05,1.06E-05,188,0.00206,1.58E-05,0.00223,102,6608479,4645573,0.040417772,0.057495598,3251.845947,0.045597896,2.04E-14,183.0897369,78.07614899,0.068521611,0.029220115,33.52155685,0.905988038,0.09452875,0.217798635,2,12,481,6,0,1,0,44,3,23,0,9,3,16,195,1,16,44,61,2,10,6,12,131,44,16,46,234,84,0.83,53,130,6,84,1,16,3,79,1,2,21,2,11,4.5625,1,10,4.5625,0,24,4.625,1,4,1.388888889,0,5,1
6.614745617,0.826843202,0.361600161,0.010758914,1,0,0,0,1,100,1.797079802,100,0,0,0,0,7,11,42,26.19047546,1,14.28571415,34.51890564,64.70175171,15.5,0.369047612,0,0,8,16,56,28.5714283,1,12.5,34.66866302,62.8649025,20,0.357142866,2,3.571428537,37,5,4.06E-06,5.49E-07,42,0.000461,1.37E-06,0.000194,37,7134241,4637678,0.03743916,0.057593476,1,1.40E-05,2.04E-14,164.4559937,2,0.061547901,0.000748503,7.314577103,0.914322138,0.168916509,0.08977101,0,7,141,3,0,1,0,13,2,14,0,6,2,6,66,1,6,13,27,0,1,3,6,18,13,6,19,56,15,1.18,19,34,3,18,0,6,2,33,2,0,6,1,6,3.666666667,2,3,2.333333333,2,4,2.333333333,1,2,1.25,0,0,0
12.52433014,0.782770634,0.301454663,0.174994737,5,7,20,35,1,20,2.508423805,44.07894897,6.5,0.324999988,1,5,12,45,132,34.09090805,1,8.333333015,37.17708588,54.65052414,43.5,0.329545468,3.833333254,2.904040337,16,79,240,32.91666794,1,6.25,37.25196457,50.97336197,80.5,0.335416675,36,15,50,11,5.49E-06,1.21E-06,60,0.000659,2.25E-06,0.000319,50,6608598,4645627,0.040417045,0.057494931,355.0757141,0.004978927,2.04E-14,172.0895996,60.03333282,0.064404793,0.022467565,13.81654358,0.863533974,0.153829694,0.238807186,1,8,135,3,0,1,1,13,2,10,1,1,2,8,26,1,8,13,33,0,6,3,7,42,13,8,25,86,26,0.3,25,51,3,37,0,7,2,82,2,1,10,2,10,3.5,0,8,3.375,1,3,1.625,1,2,0.9,0,4,1
9.448978424,0.85899806,0.3120839,0.138076335,2,0,2,0,2,100,1.984275579,92.98245239,1,0.5,0,0,9,19,72,26.38888931,1,11.11111069,34.4814682,63.69294739,26.5,0.368055552,0,0,11,29,110,26.36363602,1,9.090909004,34.63122559,61.5435791,40.5,0.368181825,6.833333492,6.21212101,33,4,3.62E-06,4.39E-07,37,0.000406,1.03E-06,0.000145,33,7131570,4637666,0.037453182,0.057593625,122.7980957,0.001721894,2.04E-14,166.5893555,3,0.062346317,0.001122755,10.08358479,0.916689515,0.165027574,0.235846207,0,7,132,3,0,1,0,12,2,16,0,9,2,5,68,1,5,12,22,0,1,3,5,17,12,5,18,49,14,1.39,15,32,3,17,0,5,2,19,3,0,7,1,5,3.2,2,3,2.4,2,4,2.6,1,2,1.428571429,0,0,0
2.5,0.833333313,0.582474709,0.072797827,3,1,6,16.66666603,2,66.66666412,1.609883904,82.69230652,2.5,0.416666657,1,16.66666603,1,0,0,0,1,100,0.748783231,100,0,0,0,0,3,1,6,16.66666603,2,66.66666412,1.609883904,82.69230652,2.5,0.416666657,1,16.66666603,2,12,2.20E-07,1.32E-06,12,0.000132,9.53E-08,1.35E-05,2,6608742,4645770,0.040416162,0.057493161,195.6643219,0.002743636,2.04E-14,151.2225037,50.52148438,0.056595247,0.018907741,2.944062948,0.981354296,0.442381263,0.319800228,0,5,206,3,0,1,4,18,1,6,0,0,1,13,88,1,13,17,31,0,4,4,13,47,17,13,31,89,38,0.99,32,69,3,52,0,13,1,69,1,0,1,2,11,2.846153846,1,6,2.230769231,1,3,1.230769231,1,2,0.466666667,0,0,0
49.45056152,0.867553711,0.217606485,0.462365329,51,330,2550,12.94117641,1,1.960784316,7.338075638,14.58333302,1110,0.435294122,455.2676697,17.85363388,11,41,110,37.27272797,1,9.090909004,21.97678757,63.59696579,34.5,0.313636363,23.66666603,21.51515198,57,511,3192,16.0087719,1,1.754385948,23.69898987,30.24366951,1340.5,0.419956148,335.6745605,10.51611996,74,2100,8.12E-06,0.000231,2150,0.0236,0.000226,0.032,74,6608302,4645726,0.040418856,0.057493705,5349.839355,0.07501629,2.04E-14,163.9561005,110.7834396,0.061360817,0.041460868,50.24219894,0.88144207,0.183504701,0.470328659,2,4,277,6,3,1,0,56,1,4,0,0,1,38,34,1,38,55,53,10,9,6,23,94,55,38,54,191,83,0.18,57,137,6,87,0,38,1,89,1,1,11,1,429,18.60526316,1,6,1.710526316,0,18,1.789473684,1,5,0.487804878,0,2,1
1,0.5,1.388888955,0,2,1,2,50,1,50,2.470984697,81.48148346,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,50,1,50,2.470984697,81.48148346,0.5,0.25,0,0,0,4,0,4.39E-07,4,4.39E-05,3.17E-07,4.48E-05,0,6605923,7136912,0.040433411,0.037425149,0,0,2.04E-14,1,61.4262085,0.000374252,0.02298885,1.985821962,0.992910981,0.503648758,1.03E-05,0,5,57,3,0,2,0,6,2,6,0,0,2,4,17,1,4,6,11,0,3,3,4,14,6,6,11,30,10,0.57,12,21,3,14,0,4,2,50,2,0,0,1,4,2.25,1,3,2.5,2,3,1.5,1,2,1,0,0,0
8.606883049,0.782443881,0.52740109,0.307987601,3,5,6,83.33333588,1,33.33333206,3.406963587,59.86841965,0.5,0.083333336,0,0,8,9,56,16.0714283,2,25,36.46574402,82.89361572,23.5,0.419642866,0,0,11,27,110,24.54545403,2,18.18181801,36.80269623,74.07686615,41.5,0.377272725,13.25,12.04545498,36,17,3.95E-06,1.87E-06,53,0.000582,5.50E-06,0.000778163,36,6608483,4645770,0.040417749,0.057493161,177.3458557,0.00249,2.04E-14,156.3725281,71.10947418,0.058522653,0.026612828,9.609827042,0.873620629,0.206472605,0.245871261,0,5,110,3,0,1,1,12,1,5,0,0,1,9,30,1,9,12,20,0,0,3,9,23,12,9,15,58,16,0.52,22,31,3,18,0,9,1,88,4,0,5,1,9,5.222222222,2,9,2.888888889,2,4,1.444444444,1,1,0.363636364,0,2,1
16.81575203,0.84078759,0.284233928,0.341826141,12,24,132,18.18181801,2,16.66666603,5.204043388,37.66937637,54,0.409090906,55.66666794,42.1717186,13,40,156,25.64102554,1,7.692307472,48.85810471,68.93819427,58,0.371794879,44.25,28.36538506,20,102,380,26.84210587,1,5,49.45713043,61.87353516,139,0.365789473,89.19999695,23.47368431,401,92,4.40E-05,1.01E-05,481,0.00528,9.40E-05,0.0133,401,6608429,4645692,0.040418077,0.057494126,1332.457153,0.018683925,2.04E-14,166.3228149,80.93331146,0.062246561,0.030289413,17.47156143,0.873578131,0.19789885,0.443030745,3,18,745,11,2,1,0,100,4,24,0,5,4,27,175,1,27,96,60,3,3,13,19,322,96,38,55,501,221,0.35,76,276,11,168,1,27,4,70,2,0,11,2,19,6.777777778,1,15,6.666666667,1,224,14.2962963,1,3,1.413793103,0,8,1
6.721918106,0.840239763,0.512558222,0.140228078,2,0,2,0,2,100,1.684762239,93.75,1,0.5,0,0,6,12,30,40,1,16.66666603,27.81729698,85.01144409,9,0.300000012,0,0,8,21,56,37.5,1,12.5,28.19168854,81.67028046,17.5,0.3125,1.833333373,3.273809433,21,11,2.31E-06,1.21E-06,32,0.000351,1.19E-05,0.00168,21,6608662,4645714,0.040416654,0.057493854,12.93337917,0.000181354,2.04E-14,161.1393433,55.23456955,0.060306642,0.020671621,7.202952862,0.900369108,0.228876919,0.106338605,1,14,208,4,0,1,0,16,3,27,0,12,3,5,108,1,5,14,22,0,4,6,4,45,14,7,18,83,33,1.3,20,51,4,36,0,5,3,40,2,0,6,1,9,5.2,1,9,5.8,2,5,3.2,2,2,1.428571429,1,0,0
3.807563066,0.761512578,0.805630147,0.063142292,1,0,0,0,1,100,0.748783231,100,0,0,0,0,5,8,20,40,1,20,27.77985764,86.68224335,6,0.300000012,0.5,2.5,5,8,20,40,1,20,27.77985764,86.68224335,6,0.300000012,0.5,2.5,12,2,1.32E-06,2.20E-07,12,0.000132,6.72E-06,0.00095,12,6608626,4645717,0.040416874,0.057493817,2.928571463,4.11E-05,2.04E-14,160.3059692,56.37622452,0.05999475,0.021098886,4.192166328,0.838433266,0.346213192,0.130162492,1,9,146,4,0,1,0,16,2,16,0,6,2,5,70,1,5,11,16,0,3,9,4,26,11,5,15,55,22,1.27,22,37,4,25,0,5,3,66,2,0,5,1,8,3.8,1,7,2.8,1,5,2.6,1,1,0.714285714,0,0,0
1,0.5,1.82601881,0.00644129,1,0,0,0,1,100,0.748783231,100,0,0,0,0,2,1,2,50,1,50,1.272931457,72.34042358,0.5,0.25,0,0,2,1,2,50,1,50,1.272931457,72.34042358,0.5,0.25,0,0,15,2,1.65E-06,2.20E-07,15,0.000165,3.71E-07,5.25E-05,15,6608626,4646542,0.040416874,0.05748361,0,0,2.04E-14,138.914566,56.37622452,0.051988985,0.021098886,1.217194557,0.608597279,1.038837433,0.486072809,1,9,75,4,0,2,0,13,2,10,0,1,2,4,19,1,4,9,10,0,2,8,3,23,9,7,11,42,19,0.45,14,30,4,20,0,4,3,50,2,0,2,1,10,5.75,1,6,2.75,1,4,2.25,1,1,0.833333333,0,0,0
2,1,0.921699345,0.980925024,2,0,2,0,2,100,1.123174787,100,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,100,1.123174787,100,1,0.5,0,0,0,49,0,5.38E-06,49,0.000538,3.21E-08,4.54E-06,0,6603408,7136912,0.040448811,0.037425149,0,0,2.04E-14,1,51.95482635,0.000374252,0.019444171,2,1,0.921699345,0.980925024,1,18,210,6,0,3,0,21,4,28,0,10,4,5,97,1,5,18,27,0,6,8,4,66,18,15,24,103,51,0.94,11,75,6,56,0,5,4,50,2,0,0,1,18,9.8,4,10,5.8,1,16,5.6,1,3,2.142857143,0,0,0
8.763606071,0.730300546,0.442601442,0.294735253,1,0,0,0,1,100,1.422688127,100,0,0,0,0,11,33,110,30,1,9.090909004,57.09472275,46.77914047,38.5,0.349999994,0,0,12,42,132,31.81818199,1,8.333333015,57.09472275,46.24014664,45,0.340909094,0.533333361,0.404040396,66,3,7.25E-06,3.29E-07,69,0.000758,1.47E-05,0.00208,66,6608808,4646445,0.04041576,0.057484809,0.40476191,5.68E-06,2.04E-14,153.7811432,44.59647751,0.057552822,0.016690299,10.63314533,0.886095405,0.186038047,0.265887856,0,10,203,4,0,1,0,22,2,13,0,2,2,11,58,1,11,18,56,0,1,6,11,53,18,11,24,124,38,0.47,21,62,4,43,0,11,2,0,2,0,10,1,7,4,1,5,3.454545455,3,4,1.636363636,1,2,0.692307692,0,0,0
