EffSize,Efficiency,Constraint,Hierarchy,Size(in),Ties(in),Pairs(in),Densit(in),nWeakC(in),pWeakC(in),2StepR(in),ReachE(in),Broker(in),nBroke(in),EgoBet(in),nEgoBe(in),Size(out),Ties(out),Pairs(out),Densit(out),nWeakC(out),pWeakC(out),2StepR(out),ReachE(out),Broker(out),nBroke(out),EgoBet(out),nEgoBe(out),Size(un),Ties(un),Pairs(un),Densit(un),nWeakC(un),pWeakC(un),2StepR(un),ReachE(un),Broker(un),nBroke(un),EgoBet(un),nEgoBe(un),OutDeg,Indeg,nOutdeg,nIndeg,Degree,nDegree,Eigenvec,nEigenvec,Power,inFarness,outFarness,InClose,OutClose,Between,nBetweenness,Inforcent,OutdwReach,IndwReach,nOutdwReach,nIndwReach,EffSize(g),Efficiency(g),Constraint(g),Hierarchy(g),CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,label,defect
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,0.658978581,100,0,0,0,0,1,0,0,0,1,100,0.658978581,100,0,0,0,0,2,0,9.33E-07,0,2,9.33E-05,6.91E-12,9.77E-10,2,369056,368449,0.164473683,0.164744645,0,0,-3.70E-14,2,1,0.003289474,0.001644737,1,1,1,1,0,0,45,0,0,0,0,0,0,0,0,0,0,0,30,1,0,0,10,0,0,0,0,0,0,0,7,11,0,2.73,4,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0
27.7079525,0.865873516,0.224518239,0.398597449,1,0,0,0,1,100,5.271828651,100,0,0,0,0,32,117,992,11.79435444,1,3.125,31.30148315,21.22904968,437.5,0.441028237,0.5,0.050403226,32,117,992,11.79435444,1,3.125,31.30148315,21.22904968,437.5,0.441028237,0.5,0.050403226,250,8,0.000117,3.73E-06,255,0.0119,-3.22E-05,-0.00456,250,368449,164072,0.164744645,0.369959533,0.5,0.000135928,-3.70E-14,127.0499802,2,0.208963782,0.003289474,29.6243,0.925759375,0.09624625,0.342370689,3,20,353,6,0,2,1,29,3,31,1,9,3,9,117,1,9,27,46,4,2,7,2,150,27,22,48,211,48,0.55,25,96,6,64,1,8,3,81,1,1,30,3,15,6.111111111,2,14,8.666666667,4,10,3.777777778,1,3,1.727272727,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,0.658978581,100,0,0,0,0,1,0,0,0,1,100,0.658978581,100,0,0,0,0,2,0,9.33E-07,0,2,9.33E-05,6.91E-12,9.77E-10,2,369056,368449,0.164473683,0.164744645,0,0,-3.70E-14,2,1,0.003289474,0.001644737,1,1,1,1,0,0,45,0,0,0,0,0,0,0,0,0,0,0,30,1,0,0,10,0,0,0,0,0,0,0,7,11,0,2.73,4,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.75882912,0.86746341,0.218466356,0.394869536,1,0,0,0,1,100,5.271828651,100,0,0,0,0,32,118,992,11.89516163,1,3.125,31.30148315,20.97130203,437,0.440524191,0.333333343,0.033602152,32,118,992,11.89516163,1,3.125,31.30148315,20.97130203,437,0.440524191,0.333333343,0.033602152,265,3,0.000124,1.40E-06,265,0.0124,-3.37E-05,-0.00477,265,368449,164072,0.164744645,0.369959533,0.333333343,9.06E-05,-3.70E-14,127.0499802,2,0.208963782,0.003289474,29.69536972,0.927980304,0.093849443,0.336804122,3,19,364,5,0,2,1,30,3,28,1,8,3,10,122,1,10,26,50,5,2,6,2,156,26,18,51,216,47,0.56,26,98,5,67,0,9,3,83,2,0,30,1,13,5.2,2,22,8.5,2,12,3.5,1,3,1.5,0,0,0
6.501494884,0.812686861,0.481255263,0.121239491,0,0,0,0,0,0,0,0,0,0,0,0,8,19,56,33.92856979,1,12.5,33.44316483,50.12345505,18.5,0.330357134,0,0,8,19,56,33.92856979,1,12.5,33.44316483,50.12345505,18.5,0.330357134,0,0,30,0,1.40E-05,0,30,0.0014,-3.26E-09,-4.61E-07,30,369056,164830,0.164473683,0.368258208,0,0,-3.70E-14,110.3275375,1,0.18145977,0.001644737,7.382139683,0.92276746,0.219031364,0.193970606,0,11,328,6,1,1,16,52,3,12,4,1,3,20,50,2,20,52,100,7,1,6,12,181,52,27,113,257,142,0.19,22,255,6,203,0,16,3,82,1,1,9,2,12,6.4,1,12,5.5,1,9,3,1,2,1.125,0,0,0
1,1,1,1,1,0,0,0,1,100,0.164744645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,0.164744645,0,0,0,0,0,0,12,0,5.60E-06,12,0.00056,0,0,0,368449,369056,0.164744645,0.164473683,0,0,-2.14E-15,1,2,0.001644737,0.003289474,1,1,1,1,0,3,88,2,0,1,0,12,1,3,0,0,1,10,32,1,10,12,16,0,1,2,10,11,12,10,16,39,11,0.82,17,27,2,16,0,10,1,9,2,1,0,2,4,2.3,1,2,1.7,1,1,1,1,3,0.230769231,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,0.164744645,0,0,0,0,0,1,0,0,0,1,100,0.164744645,0,0,0,0,0,12,0,5.60E-06,0,12,0.00056,0,0,12,369056,368449,0.164473683,0.164744645,0,0,-2.15E-15,2,1,0.003289474,0.001644737,1,1,1,1,5,8,331,8,0,2,0,59,2,10,0,1,2,23,76,2,23,54,76,0,4,9,18,134,54,44,81,208,97,0.37,50,178,8,124,0,23,3,86,3,0,1,2,6,3.565217391,0,9,3.304347826,1,8,2.304347826,1,3,0.961538462,0,0,0
2,1,0.506172895,0.035043158,2,0,2,0,2,100,12.02635956,100,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,100,12.02635956,100,1,0.5,0,0,0,9,0,4.20E-06,9,0.00042,-1.44E-09,-2.04E-07,0,105770,369056,0.573886752,0.164473683,0,0,-3.70E-14,1,116.6536331,0.001644737,0.191864535,2,1,0.506172895,0.035043158,0,3,54,1,0,1,0,3,1,7,0,4,1,3,33,1,3,3,8,0,1,1,3,4,3,3,8,16,4,2.06,5,12,1,8,0,3,1,33,2,0,0,1,3,1.666666667,0,4,2.666666667,2,1,1,1,2,0.333333333,0,0,0
2.07564497,0.518911242,1.190593839,0.26246354,3,2,6,33.33333206,1,33.33333206,16.80395317,74.4525528,2,0.333333343,0,0,1,0,0,0,1,100,7.907742977,100,0,0,0,0,4,5,12,41.66666794,1,25,20.26359177,66.48648834,3.5,0.291666657,0,0,3,9,1.40E-06,4.20E-06,12,0.00056,-4.20E-09,-5.94E-07,3,107163,165863,0.566426873,0.365964681,0,0,-3.70E-14,73.0500412,110.8636627,0.120148093,0.182341546,2.364816427,0.591204107,0.434788138,0.286447346,0,1,44,1,2,1,0,2,1,6,0,5,1,2,36,1,2,2,4,0,0,1,0,0,2,2,4,5,0,7.2,3,4,1,3,0,2,1,0,2,1,0,1,1,0.5,0,1,0.5,0,1,1,1,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,0.823723257,100,0,0,0,0,1,0,0,0,1,100,0.823723257,100,0,0,0,0,1,0,4.67E-07,0,1,4.67E-05,1.42E-13,2.00E-11,1,369056,368449,0.164473683,0.164744645,0,0,-3.70E-14,2,1,0.003289474,0.001644737,1,1,1,1,0,6,74,3,0,1,0,9,2,6,0,0,2,6,23,1,6,9,16,0,1,3,6,23,9,6,18,41,17,0.56,11,35,3,27,0,6,2,16,1,0,0,2,3,1.166666667,0,9,3.666666667,1,3,1.5,1,2,0.875,0,0,0
15.42866135,0.857147813,0.23696591,0.30887267,16,30,240,12.5,1,6.25,22.73476028,53.69649887,105,0.4375,0,0,2,0,2,0,2,100,6.095551968,80.43478394,1,0.5,0,0,18,38,306,12.41830063,1,5.555555344,24.87644196,49.83498383,134,0.4379085,15.5,5.065359592,9,115,4.20E-06,5.37E-05,124,0.00579,-4.38E-08,-6.20E-06,9,106563,165857,0.569616079,0.365977913,318.040741,0.086461231,-3.70E-14,74.28813171,155.3717651,0.122184426,0.255545676,16.44717789,0.913732052,0.13720873,0.267424941,0,5,109,3,0,1,0,15,2,8,0,2,2,8,45,1,8,14,14,0,1,4,8,23,14,8,14,50,20,0.9,14,34,3,19,0,8,2,50,2,2,1,1,24,9.5,2,4,2.375,1,4,1.875,1,1,0.7,0,0,0
3.984690428,0.664115071,0.746393502,0.17390731,5,7,20,35,1,20,5.107083797,48.4375,6.5,0.324999988,0,0,1,0,0,0,1,100,5.601317883,100,0,0,0,0,6,12,30,40,1,16.66666603,8.237232208,51.02040863,9,0.300000012,0,0,1,13,4.67E-07,6.07E-06,14,0.000653,-1.75E-10,-2.48E-08,1,107026,166197,0.567151904,0.365229219,0,0,-3.70E-14,60.26119232,113.6051483,0.0991138,0.186850578,4.364430904,0.72740519,0.447298974,0.190645203,0,1,22,1,1,1,0,1,1,1,0,0,1,1,15,1,1,1,3,0,0,1,0,0,1,1,3,4,0,3.75,3,3,1,2,0,1,1,0,0,3,1,0,2,2,2,0,0,0,1,1,1,0,0,0,0,0
71.61916351,0.918194413,0.157548413,0.696646154,68,148,4556,3.248463631,12,17.64705849,47.9406929,35.48780441,2204,0.483757675,775.9547729,17.03149223,13,27,156,17.30769157,2,15.38461494,33.937397,42.82744217,64.5,0.413461536,27,17.30769157,78,269,6006,4.478854656,9,11.53846169,52.38879776,26.81281662,2868.5,0.47760573,1280.682861,21.32339096,39,803,1.82E-05,0.000375,834,0.0389,-1.35E-07,-1.90E-05,39,106397,165371,0.570504785,0.367053479,16185.96973,4.400250435,-3.70E-14,111.7917938,199.4534607,0.18386808,0.328048468,72.16650391,0.925211608,0.142233267,0.736779213,6,5,572,12,0,1,8,91,2,7,1,1,2,51,207,2,51,81,81,1,7,12,44,157,87,71,82,298,126,0.69,67,208,9,125,0,50,2,91,3,33,12,3,76,6.529411765,0,14,2.509803922,1,12,1.705882353,1,3,0.5,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,12.8500824,100,0,0,0,0,1,0,0,0,1,100,12.8500824,100,0,0,0,0,3,0,1.40E-06,0,3,0.00014,-2.18E-10,-3.08E-08,3,369056,165101,0.164473683,0.367653728,0,0,-3.70E-14,82.23693085,1,0.135258108,0.001644737,1,1,1,1,0,3,36,1,0,1,0,2,1,3,0,0,1,2,21,1,2,2,5,0,1,1,2,3,2,2,5,11,3,1.91,4,8,1,5,0,2,1,0,2,0,1,1,2,1.5,1,2,1.5,1,1,1,1,0,0,0,0,0
