EffSize,Efficiency,Constraint,Hierarchy,Size(in),Ties(in),Pairs(in),Densit(in),nWeakC(in),pWeakC(in),2StepR(in),ReachE(in),Broker(in),nBroke(in),EgoBet(in),nEgoBe(in),Size(out),Ties(out),Pairs(out),Densit(out),nWeakC(out),pWeakC(out),2StepR(out),ReachE(out),Broker(out),nBroke(out),EgoBet(out),nEgoBe(out),Size(un),Ties(un),Pairs(un),Densit(un),nWeakC(un),pWeakC(un),2StepR(un),ReachE(un),Broker(un),nBroke(un),EgoBet(un),nEgoBe(un),OutDeg,Indeg,nOutdeg,nIndeg,Degree,nDegree,Eigenvec,nEigenvec,Power,inFarness,outFarness,InClose,OutClose,Between,nBetweenness,Inforcent,OutdwReach,IndwReach,nOutdwReach,nIndwReach,EffSize(g),Efficiency(g),Constraint(g),Hierarchy(g),CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,label,defect
9.853824615,0.8958022,0.295514166,0.211902946,0,0,0,0,0,0,0,0,0,0,0,0,11,12,110,10.909091,3,27.27272797,40.81774139,55.30516434,49,0.445454538,0,0,11,12,110,10.909091,3,27.27272797,40.81774139,55.30516434,49,0.445454538,0,0,53,0,2.36E-05,0,53,0.00236,2.05E-05,0.00291,53,2083692,1798600,0.069252081,0.080229066,0,0,0,65.33563232,1,0.045246284,0.000692521,10.54929447,0.959026754,0.139071718,0.247137114,0,4,127,2,0,1,0,12,1,5,0,0,1,8,29,3,8,11,53,0,3,3,8,19,11,8,32,82,14,0.35,16,46,2,32,0,8,2,71,2,0,7,2,4,2,0,5,1.75,1,2,1.375,1,1,0.416666667,0,0,0
22.94590378,0.84984833,0.30291301,0.449617535,3,0,6,0,3,100,2.772002697,86.95652008,3,0.5,0,0,24,48,552,8.695652008,3,12.5,39.15454102,52.75443649,252,0.456521749,0,0,27,68,702,9.686609268,3,11.11111069,39.84753799,51.47717285,317,0.451566964,43.16666794,6.149097919,191,14,8.52E-05,6.24E-06,205,0.00914,0.000259,0.0366,191,2072153,503327,0.069637716,0.286692351,1419.714966,0.068229087,0,381.9968262,6.5,0.264540732,0.004501385,24.0308342,0.890030921,0.170791224,0.509926021,5,24,809,22,2,2,4,132,5,31,5,3,5,24,112,6,24,118,177,0,4,25,17,415,118,46,187,608,270,0.18,94,457,22,333,2,19,6,88,1,0,27,2,17,4.541666667,1,64,9.833333333,1,3569,163.1666667,1,7,1.84375,0,1,1
15.53493977,0.863052249,0.37334004,0.402890325,12,5,132,3.787878752,7,58.33333206,7.484407425,53.46534729,63.5,0.481060594,0,0,6,6,30,20,2,33.33333206,28.89812851,67.25806427,12,0.400000006,0,0,18,38,306,12.41830063,1,5.555555344,32.43243408,56.9343071,134,0.4379085,36.16666794,11.81917191,19,76,8.47E-06,3.39E-05,95,0.00424,8.81E-05,0.0125,19,2053399,514740,0.070273727,0.280335695,517.3303833,0.0249,0,276.6353149,17.33333397,0.191575706,0.012003694,16.56005859,0.920003235,0.209199026,0.423092484,0,5,146,3,0,1,0,14,1,5,0,0,1,10,47,1,10,14,38,0,11,3,10,28,14,12,38,78,23,0.6,22,61,3,46,0,10,1,85,2,0,5,1,13,3.5,0,5,2.3,1,3,1.4,1,2,0.666666667,0,0,0
2.743371248,0.685842812,0.906936407,0.095543005,2,0,2,0,2,100,2.356202364,79.06977081,1,0.5,0,0,2,1,2,50,1,50,6.652806759,85.7142868,0.5,0.25,0,0,4,5,12,41.66666794,1,25,7.900207996,73.54838562,3.5,0.291666657,0,0,13,11,5.80E-06,4.91E-06,24,0.00107,2.62E-06,0.000371,13,2064950,513658,0.069880627,0.280926228,0,0,0,252.9212494,7.500000477,0.175153226,0.005193906,3.138845682,0.784711421,0.454195499,0.124560244,1,23,204,6,0,1,1,15,3,30,0,2,3,5,33,1,5,14,29,0,3,7,4,99,14,7,32,135,47,0.24,36,79,6,60,5,5,3,65,1,0,2,1,7,4.2,2,21,8.6,1,9,4.2,1,2,1.142857143,0,0,0
1.854037285,0.618012428,0.89215517,0.100830004,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,33.33333206,1,33.33333206,1.247401237,58.06451797,2,0.333333343,0,0,3,2,6,33.33333206,1,33.33333206,1.247401237,58.06451797,2,0.333333343,0,0,23,0,1.03E-05,0,23,0.00103,1.65E-08,2.33E-06,23,2083692,2057754,0.069252081,0.070124999,0,0,0,8.733333588,1,0.006048015,0.000692521,2.688731194,0.896243691,0.413351178,0.024393782,3,14,209,13,0,1,8,27,3,16,3,1,3,8,32,1,8,24,70,0,1,16,5,92,24,8,65,153,57,0.21,25,122,13,97,0,5,3,83,1,0,3,2,6,3.25,1,24,6.25,1,264,34.375,1,2,1,0,1,1
7.240283966,0.804476023,0.480718464,0.141044602,0,0,0,0,0,0,0,0,0,0,0,0,9,19,72,26.38888931,1,11.11111069,20.44351959,55.14018631,26.5,0.368055552,0,0,9,19,72,26.38888931,1,11.11111069,20.44351959,55.14018631,26.5,0.368055552,0,0,33,0,1.47E-05,0,33,0.00147,0.00011,0.0156,33,2083692,502354,0.069252081,0.287247628,0,0,0,321.5458679,1,0.222677201,0.000692521,7.751523495,0.861280382,0.197675541,0.087000415,1,10,102,1,0,1,0,3,1,17,0,3,1,3,31,1,3,3,36,0,0,1,2,25,3,3,36,53,13,0.58,18,49,1,45,3,3,1,0,2,0,8,1,6,2.666666667,1,15,11.33333333,9,1,1,1,0,0,0,1,1
1,1,1,1,1,0,0,0,1,100,2.910602808,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,2.910602808,100,0,0,0,0,0,2,0,8.92E-07,2,8.92E-05,6.66E-07,9.42E-05,0,1227376,2083692,0.117567882,0.069252081,0,0,0,1,137.8441315,0.000692521,0.095459923,1,1,1,1,0,25,73,2,0,1,0,2,2,35,1,10,2,1,31,1,1,2,19,0,0,2,1,19,2,1,18,37,12,0.84,7,30,2,25,2,0,2,0,1,0,0,1,6,6,6,7,7,7,2,2,2,3,3,3,1,1
10.35587692,0.862989724,0.451244563,0.405883521,11,7,110,6.363636494,5,45.45454407,25.08662415,69.21606445,51.5,0.468181819,0,0,1,0,0,0,1,100,13.30561352,100,0,0,0,0,12,14,132,10.60606098,3,25,31.94733238,64.4755249,59,0.446969688,3.5,2.651515245,4,25,1.78E-06,1.11E-05,29,0.00129,0.00014,0.0198,4,1152058,2076483,0.12525411,0.069492504,8.458333015,0.000406493,0,3.666666508,199.0579529,0.002539243,0.137851775,11.48643398,0.957202852,0.107029937,0.103496991,1,11,283,6,1,2,1,34,3,18,9,6,3,10,101,1,10,29,44,0,2,7,8,88,29,15,46,150,65,0.67,32,111,6,74,0,1,3,96,1,0,2,1,6,4,0,10,4.9,1,6,3,1,3,1.666666667,0,2,1
1.138888836,0.569444418,1.028332949,0.231216609,2,1,2,50,1,50,8.662508965,97.65625,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,50,1,50,8.662508965,97.65625,0.5,0.25,0,0,0,12,0,5.35E-06,12,0.000535,1.57E-06,0.000222,0,1225403,2083692,0.117757179,0.069252081,0,0,0,1,175.9121552,0.000692521,0.121822819,1.838888884,0.919444442,0.766789258,0.167146966,0,1,26,1,1,1,0,1,1,4,0,3,1,1,20,1,1,1,3,0,0,1,0,0,1,1,3,4,0,5,2,3,1,2,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0
2.311110973,0.770370364,0.779198885,0.150128111,2,1,2,50,1,50,9.84060955,93.42105103,0.5,0.25,0,0,1,0,0,0,1,100,0.138600141,100,0,0,0,0,3,2,6,33.33333206,1,33.33333206,9.84060955,92.20779419,2,0.333333343,0.5,8.333333015,9,6,4.01E-06,2.68E-06,15,0.000669,2.35E-06,0.000332,9,1226843,2082249,0.117618963,0.06930007,1.25,6.01E-05,0,2,175.7454834,0.001385042,0.121707402,2.817474842,0.939158261,0.558217347,0.308723152,0,7,70,3,0,1,1,7,2,9,4,1,2,4,26,1,4,7,10,0,0,3,4,17,7,4,11,36,14,0.72,8,25,3,13,0,0,2,25,1,0,1,1,3,2.5,2,3,2,1,3,1.75,1,2,1.166666667,0,0,0
