EffSize,Efficiency,Constraint,Hierarchy,Size(in),Ties(in),Pairs(in),Densit(in),nWeakC(in),pWeakC(in),2StepR(in),ReachE(in),Broker(in),nBroke(in),EgoBet(in),nEgoBe(in),Size(out),Ties(out),Pairs(out),Densit(out),nWeakC(out),pWeakC(out),2StepR(out),ReachE(out),Broker(out),nBroke(out),EgoBet(out),nEgoBe(out),Size(un),Ties(un),Pairs(un),Densit(un),nWeakC(un),pWeakC(un),2StepR(un),ReachE(un),Broker(un),nBroke(un),EgoBet(un),nEgoBe(un),OutDeg,Indeg,nOutdeg,nIndeg,Degree,nDegree,Eigenvec,nEigenvec,Power,inFarness,outFarness,InClose,OutClose,Between,nBetweenness,Inforcent,OutdwReach,IndwReach,nOutdwReach,nIndwReach,EffSize(g),Efficiency(g),Constraint(g),Hierarchy(g),CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,label,defect
3.957556963,0.791511416,0.510031402,0.145578057,0,0,0,0,0,0,0,0,0,0,0,0,5,4,20,20,2,40,17.41996193,87.67772675,8,0.400000006,0,0,5,4,20,20,2,40,17.41996193,87.67772675,8,0.400000006,0,0,23,0,2.32E-05,0,23,0.002316284,2.20E-05,0.003111271,23,1128906,476144,0.094073378,0.223041773,0,0,0,205.5638885,1,0.193380892,0.000940734,4.754362583,0.950872481,0.228853926,0.054597601,4,12,82,5,0,1,1,15,3,12,5,0,3,5,0,1,5,15,30,0,0,5,1,43,15,5,33,73,28,0,9,61,5,47,0,0,3,80,1,0,5,1,5,3.4,2,15,5.6,2,4,2.6,2,3,2.125,1,0,0
3.625,0.90625,0.41069445,0.033083294,4,1,12,8.333333015,3,75,0.470809788,71.42857361,5.5,0.458333343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,12,8.333333015,3,75,0.470809788,71.42857361,5.5,0.458333343,0,0,0,8,0,8.06E-06,8,0.000805664,0,0,0,1123597,1128906,0.094517872,0.094073378,0,0,0,1,5.5,0.000940734,0.005174036,3.625,0.90625,0.376249999,0.061344128,1,10,253,9,0,1,0,30,2,12,0,0,2,13,37,2,13,26,61,5,8,9,7,103,30,13,65,172,78,0.22,44,143,9,116,1,13,2,80,2,3,1,2,13,3.538461538,1,24,4.615384615,1,72,7.153846154,1,4,1.294117647,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,0.282485873,100,0,0,0,0,1,0,0,0,1,100,0.282485873,100,0,0,0,0,4,0,4.03E-06,0,4,0.000402832,0,0,4,1128906,1126783,0.094073378,0.094250627,0,0,0,2.5,1,0.002351834,0.000940734,1,1,1,1,0,7,16,2,0,1,0,2,2,7,0,0,2,1,3,1,1,2,5,0,0,2,1,4,2,1,5,11,3,0.27,2,8,2,5,0,1,2,0,4,0,0,1,1,1,1,1,1,1,2,2,2,1,1,1,0,0
1.100000024,0.550000012,1.088888884,0.278072,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,50,1,50,0.470809788,71.42857361,0.5,0.25,0,0,2,1,2,50,1,50,0.470809788,71.42857361,0.5,0.25,0,0,5,0,5.04E-06,0,5,0.00050354,0,0,5,1128906,1126782,0.094073378,0.094250709,0,0,0,3,1,0.002822201,0.000940734,1.366666675,0.683333337,0.852100015,0.384942174,0,5,20,2,0,1,0,3,2,5,0,0,2,2,3,1,2,3,6,0,0,2,2,5,3,2,6,14,4,0.21,3,10,2,6,0,2,2,0,4,0,0,1,1,0.5,0,2,1.5,1,2,1.5,1,1,0.75,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,0.37664783,100,0,0,0,0,1,0,0,0,1,100,0.37664783,100,0,0,0,0,2,0,2.01E-06,0,2,0.000201416,0,0,2,1128906,1127844,0.094073378,0.094161958,0,0,0,2,1,0.001881468,0.000940734,1,1,1,1,0,3,18,1,0,1,0,1,1,3,0,0,1,1,6,1,1,1,5,0,1,1,1,2,1,1,5,8,1,0.75,4,6,1,4,0,1,1,0,3,0,0,1,1,1,1,2,2,2,1,1,1,0,0,0,0,0
2.75,0.916666687,0.456177801,0.068711452,2,0,2,0,2,100,0.282485873,100,1,0.5,0,0,1,0,0,0,1,100,0.37664783,100,0,0,0,0,3,1,6,16.66666603,2,66.66666412,0.470809788,71.42857361,2.5,0.416666657,1,16.66666603,2,8,2.01E-06,8.06E-06,10,0.00100708,0,0,2,1126782,1127844,0.094250709,0.094161958,1,8.87E-05,0,2,3,0.001881468,0.002822201,2.816666603,0.938888907,0.419025004,0.049747124,0,3,23,1,0,1,0,2,1,3,0,0,1,2,6,1,2,2,8,1,1,1,1,4,2,2,8,12,2,0.5,5,10,1,7,0,2,1,50,3,2,0,1,4,2.5,1,3,2,1,1,1,1,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,0.37664783,100,0,0,0,0,1,0,0,0,1,100,0.37664783,100,0,0,0,0,3,0,3.02E-06,0,3,0.000302124,0,0,3,1128906,1127844,0.094073378,0.094161958,0,0,0,2,1,0.001881468,0.000940734,1,1,1,1,0,27,64,5,0,1,0,5,5,28,0,0,5,1,16,1,1,5,19,0,4,5,1,25,5,1,19,41,17,0.39,7,36,5,30,1,1,5,0,3,0,0,1,4,4,4,13,13,13,8,8,8,2,2,2,0,0
1,1,1,1,1,0,0,0,1,100,0.094161958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,0.094161958,0,0,0,0,0,0,2,0,2.01E-06,2,0.000201416,0,0,0,1127844,1128906,0.094161958,0.094073378,0,0,0,1,2,0.000940734,0.001881468,1,1,1,1,0,1,5,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,3,0,0,1,1,0,1,1,3,4,0,0,1,3,1,2,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,0.094161958,0,0,0,0,0,1,0,0,0,1,100,0.094161958,0,0,0,0,0,2,0,2.01E-06,0,2,0.000201416,0,0,2,1128906,1127844,0.094073378,0.094161958,0,0,0,2,1,0.001881468,0.000940734,1,1,1,1,0,3,7,1,0,1,0,1,1,3,0,0,1,1,0,1,1,1,3,0,0,1,1,1,1,1,3,6,1,0,1,4,1,2,0,1,1,0,1,0,1,1,1,1,1,2,2,2,1,1,1,0,0,0,0,0
1,1,1,1,1,0,0,0,1,100,0.094161958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,0.094161958,0,0,0,0,0,0,14,0,1.41E-05,14,0.001409912,0,0,0,1127844,1128906,0.094161958,0.094073378,0,0,0,1,2,0.000940734,0.001881468,1,1,1,1,0,1,26,1,0,1,0,12,1,1,0,0,1,12,6,1,12,12,14,0,0,1,12,0,12,12,14,14,0,0.43,6,14,1,13,0,12,1,0,0,0,0,0,1,1,1,1,0.583333333,0,1,1,1,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,0.094161958,0,0,0,0,0,1,0,0,0,1,100,0.094161958,0,0,0,0,0,14,0,1.41E-05,0,14,0.001409912,0,0,14,1128906,1127844,0.094073378,0.094161958,0,0,0,2,1,0.001881468,0.000940734,1,1,1,1,0,3,56,1,0,1,0,13,1,3,0,0,1,13,6,1,13,13,16,0,1,1,13,13,13,13,16,42,13,0.14,8,29,1,15,0,13,1,0,1,0,1,1,3,1.538461538,1,2,1.615384615,1,1,1,1,0,0,0,0,0
1,1,1,1,1,0,0,0,1,100,0.094161958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,0.094161958,0,0,0,0,0,0,2,0,2.01E-06,2,0.000201416,0,0,0,1127844,1128906,0.094161958,0.094073378,0,0,0,1,2,0.000940734,0.001881468,1,1,1,1,0,1,5,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,3,0,0,1,0,0,1,1,3,4,0,0,1,3,1,2,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,0.094161958,0,0,0,0,0,1,0,0,0,1,100,0.094161958,0,0,0,0,0,2,0,2.01E-06,0,2,0.000201416,0,0,2,1128906,1127844,0.094073378,0.094161958,0,0,0,2,1,0.001881468,0.000940734,1,1,1,1,0,6,10,2,0,1,0,2,2,6,0,0,2,1,0,1,1,2,3,0,0,2,1,3,2,1,3,9,3,0,1,6,2,3,0,1,2,0,1,0,1,1,1,1,1,2,2,2,2,2,2,1,1,1,0,0
1.341772556,0.447257519,1.409270644,0.130387828,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,66.66666412,1,33.33333206,63.46516037,56.78180313,1,0.166666672,0,0,3,4,6,66.66666412,1,33.33333206,63.46516037,56.78180313,1,0.166666672,0,0,12,0,1.21E-05,0,12,0.001208496,0.00122677,0.173491433,12,1128906,474004,0.094073378,0.224048749,0,0,0,209.8162842,1,0.197381258,0.000940734,2.102508545,0.700836182,0.46067372,0.262703508,0,3,19,1,0,1,0,3,1,3,0,0,1,3,0,1,3,3,8,0,0,1,3,3,3,3,8,15,3,0,4,11,1,7,0,3,1,0,1,0,3,1,3,2,1,4,2.333333333,1,1,1,1,0,0,0,0,0
