EffSize,Efficiency,Constraint,Hierarchy,Size(in),Ties(in),Pairs(in),Densit(in),nWeakC(in),pWeakC(in),2StepR(in),ReachE(in),Broker(in),nBroke(in),EgoBet(in),nEgoBe(in),Size(out),Ties(out),Pairs(out),Densit(out),nWeakC(out),pWeakC(out),2StepR(out),ReachE(out),Broker(out),nBroke(out),EgoBet(out),nEgoBe(out),Size(un),Ties(un),Pairs(un),Densit(un),nWeakC(un),pWeakC(un),2StepR(un),ReachE(un),Broker(un),nBroke(un),EgoBet(un),nEgoBe(un),OutDeg,Indeg,nOutdeg,nIndeg,Degree,nDegree,Eigenvec,nEigenvec,Power,inFarness,outFarness,InClose,OutClose,Between,nBetweenness,Inforcent,OutdwReach,IndwReach,nOutdwReach,nIndwReach,EffSize(g),Efficiency(g),Constraint(g),Hierarchy(g),CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,label,defect
9.190740585,0.919074059,0.263224125,0.287290961,1,0,0,0,1,100,0.293685764,100,0,0,0,0,9,6,72,8.333333015,3,33.33333206,22.02643204,57.8034668,33,0.458333343,0,0,10,8,90,8.888889313,3,30,22.02643204,57.36137772,41,0.455555558,7,7.777777672,38,10,2.65E-05,6.98E-06,48,0.003350028,1.60E-08,2.27E-06,38,1855044,1450091,0.073421441,0.093925141,57.80256271,0.003118257,11.2668972,87.03492737,2,0.06385541,0.001467351,9.7156744,0.971567452,0.126995355,0.132218257,0,7,157,2,0,1,2,8,1,12,0,4,1,6,73,2,6,8,34,0,3,2,6,32,8,6,32,68,23,1.07,16,55,2,46,0,6,1,50,2,0,9,1,7,2.833333333,1,11,5.166666667,3,2,1.333333333,1,3,0.7,0,2,1
6.732142925,0.961734712,0.199298471,0.100811318,5,0,20,0,5,100,1.321585894,58.06451797,10,0.5,0,0,2,1,2,50,1,50,12.55506611,96.06741333,0.5,0.25,0,0,7,1,42,2.380952358,6,85.7142868,13.28928089,86.60286713,20.5,0.488095224,10,23.80952454,9,19,6.28E-06,1.33E-05,28,0.001954183,3.20E-09,4.52E-07,9,1846874,1462879,0.073746234,0.093104079,18.98571396,0.001024216,9.103149414,56.71734238,7,0.041612137,0.00513573,6.934523582,0.990646243,0.158905596,0.060390398,0,3,54,1,0,1,0,5,1,4,0,1,1,4,28,1,4,4,9,1,0,2,3,4,4,4,9,18,4,1.56,8,13,1,8,0,4,1,0,6,0,1,1,8,3.25,1,3,2.25,2,1,1,1,0,0,0,0,0
7.304900169,0.913112521,0.341564745,0.241362378,3,0,6,0,3,100,1.174743056,66.66666412,3,0.5,0,0,5,4,20,20,2,40,19.60352516,45.10135269,8,0.400000006,0,0,8,7,56,12.5,2,25,19.67694473,43.50649261,24.5,0.4375,10,17.8571434,17,12,1.19E-05,8.38E-06,29,0.002023975,3.96E-08,5.59E-06,17,1849598,1461246,0.07363762,0.093208127,116.6141663,0.006290948,9.430486679,71.23390198,5,0.052262586,0.003668379,7.63700819,0.954626024,0.157491833,0.109302156,0,7,51,2,0,1,0,3,2,7,0,0,2,2,20,1,2,3,11,0,2,2,2,10,3,2,11,23,7,0.87,8,18,2,14,0,2,2,0,4,0,2,1,7,5,3,6,5.5,5,2,1.5,1,1,0.75,0,0,0
1,1,1,1,1,0,0,0,1,100,0.587371528,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,0.587371528,100,0,0,0,0,0,3,0,2.09E-06,3,0.000209377,5.82E-11,8.23E-09,0,1848241,1856406,0.073691688,0.073367573,0,0,2.278510094,1,4.166666508,0.000733676,0.003056982,1,1,1,1,0,10,102,6,0,1,17,18,4,21,0,7,4,2,46,1,2,8,21,1,0,16,1,32,8,2,22,41,15,1.12,15,37,6,28,3,2,9,50,1,0,0,1,20,12,4,3,2.5,2,17,9.5,2,2,1.75,1,0,0
6.339912415,0.905701756,0.359562546,0.18444325,2,0,2,0,2,100,0.954478681,92.85713959,1,0.5,0,0,5,4,20,20,2,40,19.60352516,45.10135269,8,0.400000006,0,0,7,6,42,14.28571415,2,28.5714283,19.67694473,44.22442245,18,0.428571433,7,16.66666603,17,7,1.19E-05,4.89E-06,24,0.001675014,3.93E-08,5.56E-06,17,1852321,1461246,0.07352937,0.093208127,113.7713089,0.006137585,8.666910172,71.23390198,3.5,0.052262586,0.002567865,6.638269424,0.948324203,0.179995939,0.139020592,0,7,51,2,0,1,0,3,2,7,0,0,2,2,20,1,2,3,11,0,2,2,2,10,3,2,11,23,7,0.87,8,18,2,14,0,2,2,0,4,0,2,1,5,4,3,6,5.5,5,2,1.5,1,1,0.75,0,0,0
1,1,1,1,1,0,0,0,1,100,0.51395005,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,0.51395005,100,0,0,0,0,0,3,0,2.09E-06,3,0.000209377,6.07E-11,8.59E-09,0,1850962,1856406,0.073583357,0.073367573,0,0,2.231019497,1,3.333333254,0.000733676,0.002445586,1,1,1,1,0,7,178,5,2,2,13,21,3,14,0,7,3,7,81,1,7,20,41,2,0,6,3,61,20,16,27,84,36,0.96,16,63,5,42,0,7,3,97,1,0,0,1,6,4.714285714,3,3,2.142857143,1,5,2.857142857,1,3,2,0,0,0
9.04996109,0.904996097,0.270716041,0.200690255,1,0,0,0,1,100,0.367107183,100,0,0,0,0,9,8,72,11.11111069,2,22.22222137,21.65932465,53.63636398,32,0.444444448,0,0,10,10,90,11.11111069,2,20,21.65932465,53.15315247,40,0.444444448,7,7.777777672,45,12,3.14E-05,8.38E-06,57,0.003978158,1.67E-08,2.36E-06,45,1855044,1446016,0.073421441,0.09418983,60.80256271,0.003280097,11.71829224,87.73492432,2,0.064368986,0.001467351,9.593568802,0.959356844,0.138182715,0.144471392,0,5,177,2,0,1,1,10,1,9,0,4,1,9,72,2,9,10,54,0,4,2,9,49,10,9,33,91,25,0.79,17,58,2,47,0,9,1,55,2,0,9,1,5,2.111111111,1,11,4.222222222,3,2,1.111111111,1,3,0.461538462,0,2,1
5.245933056,0.874322176,0.427079648,0.212949872,1,0,0,0,1,100,0.734214365,100,0,0,0,0,5,4,20,20,2,40,19.60352516,45.10135269,8,0.400000006,0,0,6,5,30,16.66666603,2,33.33333206,19.67694473,44.5182724,12.5,0.416666657,3,10,18,4,1.26E-05,2.79E-06,22,0.001535429,3.94E-08,5.57E-06,18,1853683,1461246,0.073475346,0.093208127,2.809523821,0.000151564,8.257928848,71.23390198,2.5,0.052262586,0.001834189,5.639280319,0.939880013,0.19536294,0.085448056,0,7,68,4,0,1,0,8,2,8,0,0,2,3,25,1,3,6,15,0,3,6,3,16,6,3,15,33,11,0.76,10,26,4,19,0,3,3,33,4,0,2,1,4,3.666666667,3,7,5.333333333,3,4,2,1,3,1.8,0,0,0
1,1,1,1,1,0,0,0,1,100,0.440528631,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,0.440528631,100,0,0,0,0,0,4,0,2.79E-06,4,0.000279169,7.51E-11,1.06E-08,0,1852323,1856406,0.073529296,0.073367573,0,0,2.697388887,1,2.833333254,0.000733676,0.002078748,1,1,1,1,16,39,1021,122,0,12,0,321,13,50,0,8,13,19,174,1,19,240,34,1,5,122,2,496,240,232,35,762,634,0.23,86,669,122,429,3,19,17,75,1,0,0,1,9,3.736842105,1,15,4.210526316,1,1189,84.26315789,1,3,1.380952381,0,0,0
4.534625053,0.755770862,0.583370328,0.098414451,1,0,0,0,1,100,0.660792947,100,0,0,0,0,5,5,20,25,1,20,21.36563873,61.52219772,7.5,0.375,0,0,6,8,30,26.66666603,1,16.66666603,21.36563873,60.3734436,11,0.366666675,1.5,5,22,4,1.54E-05,2.79E-06,26,0.001814598,1.31E-08,1.86E-06,22,1855044,1458267,0.073421441,0.093398534,49.30256271,0.00265971,9.573933601,81.56822968,2,0.059844628,0.001467351,5.292068481,0.882011414,0.282660544,0.07213755,0,5,119,2,0,1,1,5,1,11,0,6,1,4,58,2,4,5,28,0,3,2,4,20,5,4,19,46,10,1.26,15,29,2,23,0,4,1,37,2,0,5,1,4,2.5,1,8,4.25,3,2,1.25,1,7,1.25,0,2,1
4.313791275,0.539223909,0.70671612,0.779598236,2,1,2,50,1,50,0.807635844,73.33333588,0.5,0.25,0,0,6,7,30,23.33333397,1,16.66666603,19.75036621,40.81942368,11.5,0.383333325,0,0,8,15,56,26.7857151,1,12.5,19.75036621,39.91098022,20.5,0.366071433,2.333333254,4.166666508,31,92,2.16E-05,6.42E-05,123,0.008584446,2.79E-08,3.95E-06,31,1853682,1462610,0.073475383,0.093121201,3.083333254,0.000166336,12.55654907,71.49147797,3,0.052451562,0.002201027,7.024402618,0.878050327,0.56531626,0.804976225,1,17,317,25,0,4,6,37,4,24,0,5,4,8,104,1,8,32,40,0,10,30,7,114,32,28,40,166,85,0.63,49,125,25,92,2,8,5,80,4,0,4,1,16,4.125,1,17,4.875,1,726,91.625,1,7,2.1,0,4,1
4.567307472,0.761217952,0.461230606,0.048215631,1,0,0,0,1,100,0.660792947,100,0,0,0,0,5,5,20,25,1,20,21.29221725,65.4627533,7.5,0.375,0,0,6,9,30,30,1,16.66666603,21.36563873,64.38053131,10.5,0.349999994,1,3.333333254,20,6,1.40E-05,4.19E-06,26,0.001814598,1.60E-08,2.26E-06,20,1855044,1459874,0.073421441,0.093295723,2,0.000107893,9.251927376,73.23390961,2,0.05372994,0.001467351,5.179498672,0.863249838,0.23685202,0.038095221,0,6,74,2,0,1,0,4,1,11,0,4,1,3,35,2,3,4,17,0,2,2,3,12,4,3,15,31,9,1.13,8,24,2,19,0,3,1,0,2,0,5,1,3,2.333333333,1,8,4,1,2,1.333333333,1,4,1,0,0,0
