EffSize,Efficiency,Constraint,Hierarchy,Size(in),Ties(in),Pairs(in),Densit(in),nWeakC(in),pWeakC(in),2StepR(in),ReachE(in),Broker(in),nBroke(in),EgoBet(in),nEgoBe(in),Size(out),Ties(out),Pairs(out),Densit(out),nWeakC(out),pWeakC(out),2StepR(out),ReachE(out),Broker(out),nBroke(out),EgoBet(out),nEgoBe(out),Size(un),Ties(un),Pairs(un),Densit(un),nWeakC(un),pWeakC(un),2StepR(un),ReachE(un),Broker(un),nBroke(un),EgoBet(un),nEgoBe(un),OutDeg,Indeg,nOutdeg,nIndeg,Degree,nDegree,Eigenvec,nEigenvec,Power,inFarness,outFarness,InClose,OutClose,Between,nBetweenness,Inforcent,OutdwReach,IndwReach,nOutdwReach,nIndwReach,EffSize(g),Efficiency(g),Constraint(g),Hierarchy(g),CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,label,defect
3,1,0.379999995,0.22303465,2,0,2,0,2,100,0.878378391,100,1,0.5,0,0,1,0,0,0,1,100,0.810810804,100,0,0,0,0,3,0,6,0,3,100,1.621621609,96,3,0.5,2,33.33333206,2,8,1.26E-05,5.05E-05,10,6.31E-05,0.00018194,0.025730142,2,441957,2190400,0.334874213,0.067567565,3.5,0.000159896,-1.70E-13,2,186.7330322,0.001350439,0.126085773,3,1,0.38,0.223,0,3,29,1,0,1,0,1,1,3,0,0,1,1,21,1,1,1,3,0,0,1,1,1,1,1,3,6,1,3.5,2,4,1,2,0,1,1,0,3,0,0,1,3,3,3,2,2,2,1,1,1,3,0.75,0,0,0
24.3911171,0.938119888,0.147497371,0.279436916,26,43,650,6.615384579,1,3.846153736,23.0405407,62.68382263,303.5,0.466923088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,43,650,6.615384579,1,3.846153736,23.0405407,62.68382263,303.5,0.466923088,0,0,0,94,0,0.000593584,94,0.000593584,0.010033409,1.418938279,0,437728,2191880,0.338109523,0.067521945,0,0,-1.70E-13,1,415.3277893,0.000675219,0.28043741,24.85,0.956,0.064,0.113,0,1,35,1,1,1,0,1,1,8,0,7,1,1,27,1,1,1,3,0,0,1,0,0,1,1,3,4,0,6.75,4,3,1,2,0,1,1,0,0,16,0,0,20,20,20,0,0,0,1,1,1,0,0,0,0,0
22.45119286,0.898047686,0.213932633,0.283228487,22,26,462,5.627705574,3,13.63636398,9.662161827,47.82608795,218,0.471861482,0,0,3,1,6,16.66666603,2,66.66666412,43.85135269,70.62023926,2.5,0.416666657,0,0,25,81,600,13.5,1,4,45.94594574,55.82922745,259.5,0.432500005,9,1.5,3,74,1.89E-05,0.00046729,77,0.000486234,0.00791263,1.119014859,3,439907,1731626,0.336434752,0.085468799,73.706,0.003367234,-1.70E-13,60.52587891,349.3959045,0.040868249,0.235918909,23.024,0.921,0.111,0.157,0,1,46,1,1,1,0,1,1,13,0,12,1,1,37,1,1,1,3,0,0,1,0,0,1,1,3,4,0,9.25,5,3,1,2,0,1,1,0,1,13,2,1,16,16,16,1,1,1,1,1,1,0,0,0,0,0
8,1,0.1328125,0.054466553,8,0,56,0,8,100,3.243243217,47.52475357,28,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,56,0,8,100,3.243243217,47.52475357,28,0.5,0,0,0,16,0,0.000101036,16,0.000101036,0.00162701,0.230094016,0,441684,2191880,0.33508119,0.067521945,0,0,-1.70E-13,1,200.8732605,0.000675219,0.135633528,8,1,0.133,0.054,0,0,32,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,8,0,0,0,0,0,0,0,6,9,0,2.33,2,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278.4241943,0.983831048,0.04185985,0.43122074,274,992,74802,1.326167703,2,0.729927003,78.85134888,21.95672607,36905,0.493369162,3399.755127,4.545005798,15,19,210,9.047618866,5,33.33333206,53.51351166,62.26415253,95.5,0.454761893,118.0833359,56.23015976,283,1191,79806,1.492368937,1,0.353356898,80.87837982,20.70576096,39307.5,0.492538154,5334.57959,6.684434414,35,881,0.000221015,0.005563274,903,0.005702198,0.104416914,14.76678181,35,437661,1731021,0.33816126,0.085498676,157237.594,7.183341026,-1.70E-13,96.69755554,707.78302,0.065292068,0.47790885,278.948,0.986,0.026,0.396,0,1,206,1,25,1,0,25,1,5,0,4,1,25,134,1,25,25,37,0,0,1,0,0,25,25,37,38,0,3.53,34,37,1,36,0,25,1,0,1,1,11,2,64,10.4,0,1,0.76,0,1,1,1,0,0,0,2,1
9.227272987,0.922727287,0.448476374,0.509397864,9,0,72,0,9,100,8.175675392,76.58227539,36,0.5,0,0,1,0,0,0,1,100,19.12162209,100,0,0,0,0,10,9,90,10,2,20,24.66216278,82.76644135,40.5,0.449999988,2,2.222222328,1,21,6.31E-06,0.000132609,22,0.000138924,0.001367781,0.193433389,1,439384,1731331,0.336835206,0.085483365,0.2,9.14E-06,-1.70E-13,71.60996246,376.6776733,0.048352439,0.254340082,9.584,0.958,0.162,0.159,0,1,33,1,1,1,0,1,1,6,0,5,1,1,27,1,1,1,3,0,0,1,0,0,1,1,3,4,0,6.75,2,3,1,2,0,1,1,0,0,8,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0
11.38196564,0.948497176,0.318439811,0.490743071,12,6,132,4.545454502,7,58.33333206,30.5405407,90.21955872,63,0.477272719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,132,4.545454502,7,58.33333206,30.5405407,90.21955872,63,0.477272719,0,0,0,58,0,0.000366254,58,0.000366254,0.005255569,0.743249655,0,435293,2191880,0.340000868,0.067521945,0,0,-1.70E-13,1,389.4439697,0.000675219,0.262960136,11.607,0.967,0.203,0.506,0,2,40,1,0,1,0,4,1,2,0,0,1,4,21,1,4,4,6,0,0,1,4,3,4,4,6,14,3,1.5,5,9,1,4,0,4,1,0,2,3,0,1,5,2.75,0,1,1,1,1,1,1,0,0,0,0,0
13.29827785,0.886551857,0.288310975,0.447174788,13,4,156,2.56410265,9,69.2307663,4.594594479,66.66666412,76,0.487179488,0,0,2,0,2,0,2,100,36.75675583,98.90908813,1,0.5,0,0,15,17,210,8.095237732,1,6.666666508,37.83783722,85.88957214,96.5,0.459523797,12.33333302,5.873015881,8,39,5.05E-05,0.000246274,47,0.000296792,0.009430272,1.333641768,8,441976,1731625,0.334859818,0.085468851,87.808,0.004011493,-1.70E-13,59.90088272,259.0925293,0.04044624,0.174944311,14.225,0.948,0.123,0.252,0,3,48,1,0,1,1,4,1,4,1,0,1,4,24,1,4,4,8,1,1,1,3,7,4,4,8,19,6,1.26,5,14,1,9,0,3,1,62,3,8,1,1,16,6.25,1,4,2.5,1,1,1,1,0,0,0,0,0
2.977672577,0.595534503,0.900570214,0.215360641,1,0,0,0,1,100,0.743243217,100,0,0,0,0,4,8,12,66.66666412,1,25,48.91891861,70.2230835,2,0.166666672,0,0,5,10,20,50,1,20,49.12162018,69.76967621,5,0.25,1.5,7.5,8,1,5.05E-05,6.31E-06,9,5.68E-05,0.003490445,0.493623435,8,2190400,1729824,0.067567565,0.085557841,2.66,0.000121499,-1.70E-13,76.57662964,2,0.051706031,0.001350439,3.873,0.775,0.36,0.249,0,3,39,1,0,1,0,2,1,3,0,0,1,2,24,1,2,2,6,0,0,1,2,2,2,2,5,11,2,2.18,4,7,1,4,0,2,1,0,3,0,2,2,2,1.5,1,2,2,2,1,1,1,0,0,0,0,0
22.05907631,0.882363081,0.218725115,0.307241827,23,35,506,6.916996002,2,8.695652008,41.28378296,63.84534836,235.5,0.465415031,4.666666508,0.922266126,3,5,6,83.33333588,1,33.33333206,48.64864731,71.07601166,0.5,0.083333336,0,0,25,63,600,10.5,1,4,58.71621704,51.51155853,268.5,0.44749999,14.16666698,2.361111164,4,78,2.53E-05,0.000492549,80,0.000505178,0.012422021,1.75673914,4,438499,1731322,0.337515026,0.085483812,822.924,0.037594993,-1.70E-13,73.69329071,492.9683838,0.049759142,0.332861841,22.918,0.917,0.126,0.432,0,1,49,1,3,1,0,3,1,6,0,5,1,3,39,1,3,3,5,0,0,1,0,0,3,3,5,6,0,6.5,4,5,1,4,0,3,1,0,1,3,2,2,2,1.333333333,1,1,0.666666667,0,1,1,1,0,0,0,0,0
