EffSize,Efficiency,Constraint,Hierarchy,Size(in),Ties(in),Pairs(in),Densit(in),nWeakC(in),pWeakC(in),2StepR(in),ReachE(in),Broker(in),nBroke(in),EgoBet(in),nEgoBe(in),Size(out),Ties(out),Pairs(out),Densit(out),nWeakC(out),pWeakC(out),2StepR(out),ReachE(out),Broker(out),nBroke(out),EgoBet(out),nEgoBe(out),Size(un),Ties(un),Pairs(un),Densit(un),nWeakC(un),pWeakC(un),2StepR(un),ReachE(un),Broker(un),nBroke(un),EgoBet(un),nEgoBe(un),OutDeg,Indeg,nOutdeg,nIndeg,Degree,nDegree,Eigenvec,nEigenvec,Power,inFarness,outFarness,InClose,OutClose,Between,nBetweenness,Inforcent,OutdwReach,IndwReach,nOutdwReach,nIndwReach,EffSize(g),Efficiency(g),Constraint(g),Hierarchy(g),CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,label,defect
11.8905344,0.849323869,0.417430431,0.630372763,1,0,0,0,1,100,2.019230843,100,0,0,0,0,13,13,156,8.333333015,4,30.76922989,6.538461685,56.66666794,71.5,0.458333343,0,0,13,13,156,8.333333015,4,30.76922989,6.538461685,56.66666794,71.5,0.458333343,0,0,137,10,0.000152997,1.12E-05,147,0.000164,5.26E-05,0.00744,137,1075370,602829,0.096710898,0.172519907,29.20116615,0.00270241,13.7,115.3556747,4.333333015,0.110812366,0.004162664,12.70739937,0.907671392,0.347339034,0.669838965,6,21,487,12,0,1,2,69,4,27,0,4,4,15,106,4,15,61,110,4,8,13,5,215,61,22,90,349,144,0.3,40,234,12,171,1,15,5,100,3,0,14,2,15,6.533333333,0,31,9.4,1,126,16.73333333,1,6,1.619047619,0,1,1
3.755087137,0.751017392,0.631870031,0.030608339,2,1,2,50,1,50,2.211538553,76.66666412,0.5,0.25,0,0,3,1,6,16.66666603,2,66.66666412,3.653846264,80.85106659,2.5,0.416666657,0,0,3,1,6,16.66666603,2,66.66666412,3.653846264,80.85106659,2.5,0.416666657,0,0,21,9,2.35E-05,1.01E-05,30,3.35E-05,1.45E-05,0.00205,21,1070180,607325,0.097179912,0.171242744,0.333333343,3.08E-05,9.9,91.98478699,6.666666508,0.088361949,0.006404099,4.442460537,0.888492107,0.344657123,0.023962859,0,8,118,6,0,1,0,15,2,10,0,1,2,7,33,1,7,15,27,0,2,6,7,42,15,7,24,75,29,0.44,10,53,6,38,0,7,2,50,2,0,2,1,6,2.857142857,1,9,3.428571429,1,6,2.285714286,1,3,1.222222222,0,0,0
19.24192047,0.916281939,0.209912792,0.225233212,2,0,2,0,2,100,2.211538553,95.83333588,1,0.5,0,0,19,31,342,9.06432724,5,26.31579018,25.38461494,58.53658676,155.5,0.454678357,0,0,19,31,342,9.06432724,5,26.31579018,25.38461494,58.53658676,155.5,0.454678357,0,0,102,2,0.00011391,2.23E-06,104,0.000116,7.23E-05,0.0102,102,1076404,595102,0.096617997,0.174759954,521.725647,0.048282895,14,154.9236755,5,0.14882198,0.004803074,19.75964355,0.940935433,0.134184748,0.221455321,2,12,412,10,0,1,2,46,2,16,2,3,2,18,95,4,18,44,132,6,11,10,10,143,44,20,95,280,92,0.34,38,187,10,138,0,16,3,83,3,0,12,2,14,5.222222222,0,25,5.833333333,1,36,4.222222222,1,3,1.086956522,0,0,0
12.08465958,0.755291224,0.362438917,0.608510017,5,4,20,20,2,40,4.519230843,66.1971817,8,0.400000006,1.5,7.5,12,21,132,15.909091,1,8.333333015,48.84615326,81.02073669,55.5,0.420454532,9,6.818181992,12,21,132,15.909091,1,8.333333015,48.84615326,81.02073669,55.5,0.420454532,9,6.818181992,189,20,0.000211069,2.23E-05,205,0.000229,0.000731,0.103434473,189,1070171,606616,0.097180732,0.171442896,1045.907959,0.096793145,14.2,138.5569763,8.833333969,0.133099884,0.008485431,13.03193378,0.814495862,0.320691198,0.656468093,9,18,737,21,3,2,8,122,4,20,0,2,4,28,98,4,28,110,171,5,23,26,11,381,110,50,142,588,256,0.17,64,398,21,286,0,28,4,90,2,1,15,2,25,6.714285714,0,32,7.321428571,1,3050,127,1,4,1.333333333,0,0,0
4.428571224,0.885714293,0.520356357,0.33565864,4,1,12,8.333333015,3,75,6.346153736,62.26415253,5.5,0.458333343,0,0,1,0,0,0,1,100,2.403846264,100,0,0,0,0,1,0,0,0,1,100,2.403846264,100,0,0,0,0,5,23,5.58E-06,2.57E-05,28,3.13E-05,0.000255,0.036050308,5,1078480,1081600,0.096432015,0.096153848,2.450000048,0.000226734,10.3,2,5,0.00192123,0.004803074,4.90556097,0.981112242,0.28006351,0.347248256,0,3,39,1,0,1,1,3,1,3,0,0,1,3,20,1,3,3,7,0,0,1,3,4,3,3,7,14,3,1.43,5,10,1,6,0,3,1,100,3,0,0,1,7,3,0,3,2.333333333,2,1,1,1,4,0.666666667,0,0,0
4,1,0.280000031,0.167751074,1,0,0,0,1,100,2.019230843,100,0,0,0,0,3,0,6,0,3,100,6.153846264,82.05128479,3,0.5,0,0,3,0,6,0,3,100,6.153846264,82.05128479,3,0.5,0,0,3,2,3.35E-06,2.23E-06,5,5.58E-06,4.40E-06,0.000622,3,1075370,608889,0.096710898,0.170802891,14.11111069,0.001305907,3.79,117.5962143,4.333333015,0.11296466,0.004162664,4,1,0.280000031,0.167751074,0,5,53,2,0,1,1,3,2,6,1,0,2,2,22,1,2,3,17,0,0,2,2,8,3,2,12,27,4,0.81,4,16,2,12,0,1,2,50,2,0,3,1,4,2.5,1,3,2,1,2,1.5,1,1,0.75,0,0,0
1.157575727,0.578787863,0.994754732,0.219902754,1,0,0,0,1,100,1.346153855,100,0,0,0,0,1,0,0,0,1,100,0.576923072,100,0,0,0,0,1,0,0,0,1,100,0.576923072,100,0,0,0,0,22,8,2.46E-05,8.93E-06,30,3.35E-05,5.82E-07,8.23E-05,22,1074337,606469,0.096803889,0.171484441,0,0,9.18,85.86186981,4.166666508,0.082480185,0.004002561,1.857343912,0.928671956,0.682506204,0.327464372,1,20,280,16,0,2,1,45,6,26,1,5,5,8,63,2,8,43,57,0,3,16,7,126,44,13,53,202,89,0.31,17,142,16,96,0,7,6,41,1,0,4,2,11,4.75,2,14,5.5,1,374,70.75,1,4,1.909090909,0,0,0
4.332709789,0.722118318,0.584121346,0.291576296,5,6,20,30,1,20,3.269230843,58.62068939,7,0.349999994,3,15,2,1,2,50,1,50,2.788461447,70.73170471,0.5,0.25,0,0,2,1,2,50,1,50,2.788461447,70.73170471,0.5,0.25,0,0,5,77,5.58E-06,8.60E-05,78,8.71E-05,2.04E-05,0.00288,5,1070171,607050,0.097180732,0.171320319,779.1801147,0.072108917,12,106.5038528,8.833333015,0.102309175,0.00848543,4.850852489,0.808475435,0.470625907,0.362918049,5,6,280,12,3,1,5,46,2,6,8,0,2,18,33,6,24,45,101,0,15,12,16,100,45,29,83,216,63,0.15,33,146,12,104,0,16,2,95,2,0,2,2,9,2.291666667,0,16,3.041666667,1,126,6.916666667,0,3,0.5625,0,0,0
4.980644226,0.711520612,0.669590235,0.204830378,1,0,0,0,1,100,4.134615421,100,0,0,0,0,6,6,30,20,1,16.66666603,28.75,75.69620514,12,0.400000006,0,0,6,6,30,20,1,16.66666603,28.75,75.69620514,12,0.400000006,0,0,13,6,1.45E-05,6.70E-06,19,2.12E-05,0.000721,0.101936594,13,1080561,602805,0.096246302,0.172526777,1.033333302,9.56E-05,8.81,112.7974243,2.5,0.108354874,0.002401537,5.928293705,0.846899092,0.267755628,0.216485947,0,4,84,2,2,1,0,6,1,5,0,1,1,5,37,1,5,6,20,0,3,2,3,10,6,5,16,37,8,1,10,24,2,17,0,5,1,60,2,0,6,1,5,2,0,4,1.4,0,2,1.2,1,6,1.125,0,0,0
24.77717781,0.854385495,0.218116581,0.270048529,5,2,20,10,3,60,5.961538315,52.99145126,9,0.449999988,0,0,24,87,552,15.76086998,1,4.166666508,66.44230652,25.82212257,232.5,0.421195656,0,0,24,87,552,15.76086998,1,4.166666508,66.44230652,25.82212257,232.5,0.421195656,0,0,205,44,0.000228938,4.91E-05,249,0.000278,0.0176,2.490922689,205,1074323,605215,0.096805148,0.171839759,1167.530518,0.108048655,15.6,176.8379974,7.5,0.169873193,0.007204611,26.51653099,0.914363146,0.129010081,0.355367422,2,18,514,9,8,1,9,63,3,26,15,6,3,15,140,1,15,52,133,0,0,10,5,198,52,17,113,325,113,0.43,50,226,9,163,1,0,4,81,3,0,27,1,12,6.066666667,3,16,8.533333333,2,84,10.73333333,1,4,1.722222222,0,0,0
39.89979935,0.927902341,0.145892784,0.315269947,1,0,0,0,1,100,3.461538553,100,0,0,0,0,42,130,1722,7.549361229,4,9.523809433,68.2692337,25.4662838,796,0.462253183,0,0,42,130,1722,7.549361229,4,9.523809433,68.2692337,25.4662838,796,0.462253183,0,0,528,17,0.000589654,1.90E-05,545,0.000609,0.0175,2.475599527,528,1081600,596957,0.096153848,0.174216896,21.30028152,0.001971226,16.1,180.754715,2,0.173635647,0.00192123,41.12504578,0.956396401,0.087620497,0.38368687,10,8,1052,15,3,1,3,172,2,10,3,1,2,76,164,2,76,161,341,0,11,19,63,373,161,97,205,778,210,0.21,113,415,15,249,0,73,2,92,2,0,42,3,21,3.434210526,0,20,4.105263158,0,22,2.236842105,1,6,0.835443038,0,3,1
4.293272495,0.613324642,0.923541486,0.545380235,3,1,6,16.66666603,2,66.66666412,5.576922894,61.70212936,2.5,0.416666657,0,0,4,3,12,25,2,50,3.461538553,66.66666412,4.5,0.375,0,0,4,3,12,25,2,50,3.461538553,66.66666412,4.5,0.375,0,0,6,37,6.70E-06,4.13E-05,43,4.80E-05,0.000795,0.112438232,6,1079520,606614,0.096339114,0.171443462,1.876811624,0.000173689,11.9,82.6365509,4,0.079381891,0.003842459,4.958103657,0.708300531,0.665483594,0.832461834,0,1,85,1,0,1,1,4,1,11,0,10,1,4,60,1,4,4,14,0,0,1,4,1,4,4,10,15,0,4,10,10,1,9,0,4,1,100,2,1,2,1,6,3.25,1,1,0.25,0,1,1,1,0,0,0,0,0
9.645047188,0.803753972,0.334966987,0.251541197,11,26,110,23.63636398,1,9.090909004,6.923077106,38.29787064,42,0.381818175,0,0,1,0,0,0,1,100,43.94230652,100,0,0,0,0,1,0,0,0,1,100,43.94230652,100,0,0,0,0,3,407,3.35E-06,0.000454525,410,0.000457875,0.00454,0.64247787,3,1070161,609906,0.097181641,0.170518085,37.69144058,0.003488139,15.7,74.60041046,12.5,0.071662255,0.012007685,10.01600266,0.834666908,0.271039337,0.292,0,7,199,8,1,2,3,43,3,8,0,0,3,13,26,2,15,40,50,0,7,10,14,80,40,28,52,149,63,0.17,24,115,8,70,0,15,3,91,2,2,2,1,7,3.133333333,0,6,2.2,1,8,2.533333333,0,4,1.555555556,0,0,0
8.997698784,0.8179726,0.397319466,0.232072592,4,2,12,16.66666603,2,50,5.096153736,81.53845978,5,0.416666657,2,16.66666603,8,11,56,19.6428566,2,25,54.71154022,63.43366623,22.5,0.401785702,5,8.928571701,8,11,56,19.6428566,2,25,54.71154022,63.43366623,22.5,0.401785702,5,8.928571701,117,47,0.000130662,5.25E-05,159,0.000178,0.00279,0.394113719,117,1077441,603535,0.096525006,0.172318086,661.2947388,0.061199263,14.8,133.6998749,5.5,0.128434077,0.005283381,9.606160164,0.873287261,0.261640102,0.291946292,9,11,482,9,0,2,4,88,3,14,1,2,3,27,97,1,27,87,105,0,6,9,18,176,87,65,94,331,130,0.29,54,224,9,121,0,26,3,89,1,0,9,1,8,5.555555556,3,9,4.333333333,1,19,4.148148148,1,5,1.896551724,0,0,0
9.825745583,0.818812132,0.385038704,0.264701635,9,15,72,20.83333397,1,11.11111069,6.730769157,41.42012024,28.5,0.395833343,0,0,3,2,6,33.33333206,1,33.33333206,49.23077011,71.21001434,2,0.333333343,0,0,3,2,6,33.33333206,1,33.33333206,49.23077011,71.21001434,2,0.333333343,0,0,55,268,6.14E-05,0.000299294,323,0.000360717,0.00989,1.39857471,55,1071202,608248,0.097087197,0.170982882,640.1010742,0.059237905,15.6,97.08081055,11,0.093257263,0.010566763,10.10853863,0.842378259,0.283182651,0.296040446,0,9,295,5,0,2,1,55,2,14,0,4,2,16,89,1,16,39,42,0,3,9,16,100,39,28,34,174,73,0.51,32,107,5,67,0,16,3,48,3,1,3,1,16,6.875,1,9,3.6875,1,8,2.875,1,3,1,0,0,0
3.82110405,0.545872033,0.705443203,0.256914824,4,5,12,41.66666794,1,25,6.442307472,58.26086807,3.5,0.291666657,0,0,3,3,6,50,1,33.33333206,44.13461685,95.42619324,1.5,0.25,0,0,3,3,6,50,1,33.33333206,44.13461685,95.42619324,1.5,0.25,0,0,18,32,2.01E-05,3.57E-05,50,5.58E-05,0.00191,0.270271808,18,1072249,607502,0.096992396,0.171192855,37.10810471,0.003434155,12.4,85.8786087,7.500000477,0.082496263,0.007204611,4.866559029,0.695222735,0.413356364,0.398975223,0,5,138,3,0,1,1,14,1,8,0,3,1,10,52,1,10,13,32,0,1,4,10,30,13,12,24,70,21,0.74,16,45,3,31,0,10,1,55,4,0,2,1,6,2.5,0,5,2.9,1,3,1.3,1,1,0.333333333,0,0,0
5.041785717,0.840297639,0.650359571,0.257563293,2,1,2,50,1,50,4.326922894,83.33333588,0.5,0.25,0,0,5,7,20,35,1,20,48.07692337,78.98894501,6.5,0.324999988,1,5,5,7,20,35,1,20,48.07692337,78.98894501,6.5,0.324999988,1,5,55,8,6.14E-05,8.93E-06,58,6.48E-05,0.00111,0.156448022,55,1077443,603966,0.096524827,0.172195122,10.35470104,0.000958272,12.8,106.6502914,4.5,0.102449849,0.004322767,5.39530611,0.899217725,0.300597936,0.278019339,1,11,164,5,0,1,2,23,3,13,0,1,3,8,36,1,8,23,45,0,2,5,7,62,23,10,36,116,38,0.31,12,74,5,50,0,8,3,46,2,0,5,1,10,5.75,3,10,6,4,7,3.125,1,3,1.9,0,0,0
2.697992563,0.674498141,0.883258283,0.318950713,3,3,6,50,1,33.33333206,1.923076868,71.42857361,1.5,0.25,0,0,2,1,2,50,1,50,44.71154022,98.72611237,0.5,0.25,0,0,2,1,2,50,1,50,44.71154022,98.72611237,0.5,0.25,0,0,3,87,3.35E-06,9.72E-05,89,9.94E-05,0.000431,0.060882121,3,1071217,605680,0.097085841,0.171707839,1.166666627,0.000107969,12.6,81.04330444,6.833333492,0.0778514,0.006564201,3.044499159,0.76112479,0.65144223,0.291253507,0,6,114,3,1,1,0,18,1,6,0,0,1,10,22,1,10,14,31,0,3,7,9,38,14,10,27,78,24,0.28,14,51,3,37,0,10,2,40,1,0,2,2,10,3.8,1,7,2.9,1,2,1.3,1,3,0.615384615,0,0,0
3.3125,0.828125,0.62944448,0.138998359,2,0,2,0,2,100,1.442307711,93.75,1,0.5,0,0,2,0,2,0,2,100,2.788461447,96.66666412,1,0.5,0,0,2,0,2,0,2,100,2.788461447,96.66666412,1,0.5,0,0,3,3,3.35E-06,3.35E-06,6,6.70E-06,2.75E-06,0.000389,3,1080560,1078483,0.096246392,0.096431747,1.5,0.000138817,4.18,3.833333254,3,0.003682357,0.002881844,3.650877237,0.912719309,0.376154095,0.076672807,0,1,43,1,0,1,0,2,1,5,0,4,1,2,29,1,2,2,8,0,0,1,2,0,2,2,7,9,0,3.22,5,7,1,6,0,2,1,0,2,1,0,1,1,0.5,0,1,1,1,1,1,1,0,0,0,0,0
5.668164253,0.809737742,0.445048064,0.450247407,7,5,42,11.90476227,2,28.5714283,4.326922894,66.1764679,18.5,0.440476179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,4.58E-05,41,4.58E-05,1.58E-05,0.00224,0,1066018,1082640,0.097559325,0.096061483,0,0,10.7,1,11.33333302,0.000960615,0.010886967,6.044775009,0.863539338,0.321798503,0.504214048,0,4,156,4,5,1,2,29,1,4,0,0,1,19,20,1,19,24,44,0,5,8,14,48,24,21,37,112,38,0.18,24,75,4,51,0,19,2,73,2,0,0,1,7,2.526315789,1,9,2.263157895,1,3,1.210526316,1,1,0.238095238,0,0,0
12.68244267,0.905888796,0.361334383,0.488662571,6,3,30,10,3,50,4.711538315,71.01449585,13.5,0.449999988,8,26.66666603,10,14,90,15.55555534,3,30,50.28845978,75.36022949,38,0.422222227,13.33333302,14.81481457,10,14,90,15.55555534,3,30,50.28845978,75.36022949,38,0.422222227,13.33333302,14.81481457,84,80,9.38E-05,8.93E-05,158,0.000176,0.000483,0.068254188,84,1071209,605581,0.097086564,0.171735898,140.7644501,0.01302699,13.8,89.46074677,8.833333969,0.085937314,0.008485431,12.97542858,0.926816285,0.32342732,0.529999912,0,8,330,6,5,1,2,46,2,10,1,0,2,21,53,2,21,45,88,1,14,7,15,121,45,21,74,235,92,0.23,43,166,6,119,0,20,2,80,2,0,7,2,9,4.476190476,0,13,5.142857143,1,10,2.476190476,1,3,1,0,2,1
1.40476191,0.702380955,0.935056746,0.02358574,1,0,0,0,1,100,1.346153855,100,0,0,0,0,1,0,0,0,1,100,0.673076928,100,0,0,0,0,1,0,0,0,1,100,0.673076928,100,0,0,0,0,4,3,4.47E-06,3.35E-06,7,7.82E-06,1.48E-07,2.09E-05,4,1074337,1081600,0.096803889,0.096153848,0,0,4.61,2,4.166666508,0.00192123,0.004002561,1.939849615,0.969924808,0.541571498,0.038705494,0,7,47,4,0,3,0,6,3,7,0,0,3,2,17,1,2,5,12,0,0,5,2,6,5,5,10,24,5,0.71,6,15,4,8,0,2,3,0,1,0,1,2,3,1.5,0,4,2.5,1,4,2.5,1,3,2.25,0,0,0
10.95376682,0.912813902,0.261297733,0.145317718,0,0,0,0,0,0,0,0,0,0,0,0,12,8,132,6.060606003,4,33.33333206,11.73076916,67.03296661,62,0.469696969,0,0,12,8,132,6.060606003,4,33.33333206,11.73076916,67.03296661,62,0.469696969,0,0,36,0,4.02E-05,0,36,4.02E-05,2.32E-05,0.00328,36,1082640,597373,0.096061483,0.174095586,0,0,11.1,134.5736389,1,0.12927343,0.000960615,11.5701561,0.964179695,0.12538524,0.14910318,0,11,108,5,0,1,2,12,3,12,0,0,3,4,22,1,4,12,36,0,1,5,4,31,12,4,28,72,20,0.31,14,48,5,35,0,4,3,58,2,0,9,2,3,1.5,0,8,4.75,2,12,4.75,1,3,1.833333333,0,0,0
3.319444418,0.829861104,0.575761735,0.129299074,0,0,0,0,0,0,0,0,0,0,0,0,4,2,12,16.66666603,2,50,29.23077011,77.74935913,5,0.416666657,0,0,4,2,12,16.66666603,2,50,29.23077011,77.74935913,5,0.416666657,0,0,18,0,2.01E-05,0,18,2.01E-05,0.000621,0.087801896,18,1082640,606895,0.096061483,0.171364069,0,0,7.98,116.3865967,1,0.11180269,0.000960615,3.659990788,0.914997697,0.35405609,0.335245728,1,14,183,7,0,1,1,26,3,18,5,3,3,8,50,4,8,26,40,0,0,7,7,72,26,8,31,121,37,0.41,12,68,7,50,0,3,3,40,1,0,3,2,7,4,1,8,4.5,2,8,3.125,1,1,0.461538462,0,0,0
