EffSize,Efficiency,Constraint,Hierarchy,Size(in),Ties(in),Pairs(in),Densit(in),nWeakC(in),pWeakC(in),2StepR(in),ReachE(in),Broker(in),nBroke(in),EgoBet(in),nEgoBe(in),Size(out),Ties(out),Pairs(out),Densit(out),nWeakC(out),pWeakC(out),2StepR(out),ReachE(out),Broker(out),nBroke(out),EgoBet(out),nEgoBe(out),Size(un),Ties(un),Pairs(un),Densit(un),nWeakC(un),pWeakC(un),2StepR(un),ReachE(un),Broker(un),nBroke(un),EgoBet(un),nEgoBe(un),OutDeg,Indeg,nOutdeg,nIndeg,Degree,nDegree,Eigenvec,nEigenvec,Power,inFarness,outFarness,InClose,OutClose,Between,nBetweenness,Inforcent,OutdwReach,IndwReach,nOutdwReach,nIndwReach,EffSize(g),Efficiency(g),Constraint(g),Hierarchy(g),CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,label,defect
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78E-05,0,53,3.78E-05,0,0.016095774,0,1717410,1460001,0,0,0,0,0,0,0,0.049018621,0.000762777,0,0,0,0,0,4,127,2,0,1,0,12,1,5,0,0,1,8,29,3,8,11,53,0,3,3,8,19,11,8,32,82,14,0.35,16,46,2,32,0,8,2,71,2,0,7,2,4,2,0,5,1.75,1,2,1.375,1,1,0.416666667,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000124019,9.98E-06,188,0.000134,0,0.099903695,0,1706935,380993,0,0,0,0.077901796,0,0,0,0.275034785,0.004958047,0,0,0,0,5,24,743,22,2,2,4,118,5,32,5,4,5,21,110,4,21,105,159,0,4,25,14,371,105,43,170,548,247,0.2,90,417,22,306,3,16,6,88,1,0,27,2,16,4.523809524,1,61,10.38095238,1,1949,101.8095238,1,7,2.037037037,0,0,0
3.888721704,0.972180426,0.345918924,0.179972783,9,5,72,6.944444656,0,0,0,0,0,0,0,0,4,1,12,8.333333015,3,75,14.65648842,70.84870911,5.5,0.458333343,0,0,4,1,12,8.333333015,3,75,14.65648842,70.84870911,5.5,0.458333343,0,0,19,0,1.35E-05,4.56E-05,83,5.92E-05,2.98E-07,0.0303,19,1693840,389926,0.076277651,0.327937812,0,0.029525992,2.34E-13,158.9398804,1,0.201102316,0.01093313,3.909774542,0.977443635,0.301853567,0.162768245,0,5,141,3,0,1,0,14,1,5,0,0,1,10,44,1,10,14,37,0,10,3,10,28,14,12,37,77,23,0.57,21,60,3,45,0,10,1,84,2,0,5,1,10,3.2,0,5,2.3,1,3,1.4,1,2,0.666666667,0,0,0
9.853824615,0.8958022,0.295514166,0.211902946,2,0,2,0,0,0,0,0,0,0,0,0,11,12,110,10.909091,3,27.27272797,41.29771042,54.81256485,49,0.445454538,0,0,11,12,110,10.909091,3,27.27272797,41.29771042,54.81256485,49,0.445454538,0,0,53,0,8.55E-06,7.84E-06,23,1.64E-05,0.000114,0.001741839,53,1700397,389104,0.076277651,0.089725964,0,0,2.34E-13,64.26341248,1,0.181336865,0.005720824,10.53679752,0.957890689,0.140017807,0.245866328,1,21,194,6,0,1,1,15,3,28,0,2,3,5,32,1,5,14,29,0,3,7,4,92,14,7,32,128,45,0.25,34,77,6,58,5,5,3,65,1,0,2,1,7,4.2,2,20,8.4,1,9,4.2,1,2,1.142857143,0,0,0
22.64103508,0.838556886,0.307822108,0.455717653,0,0,0,0,3,100,3.053435087,86.95652008,3,0.5,0,0,24,48,552,8.695652008,3,12.5,40.22900772,53.61139297,252,0.456521749,0,0,27,68,702,9.686609268,3,11.11111069,40.99236679,52.18658829,317,0.451566964,43.16666794,6.149097919,174,14,1.64E-05,0,23,1.64E-05,0.000706,5.16E-06,174,1717410,1700400,0.076745749,0.343838334,1335.852173,0,2.34E-13,360.5706177,6.5,0.005720824,0.000762777,23.84857941,0.883280694,0.17877087,0.52257055,3,14,209,13,0,1,8,27,3,16,3,1,3,8,32,1,8,24,70,0,1,16,5,92,24,8,65,153,57,0.21,25,122,13,97,0,5,3,83,1,0,3,2,6,3.25,1,24,6.25,1,264,34.375,1,2,1,0,0,0
12.31812954,0.821208596,0.385650486,0.349356741,0,0,0,0,4,44.44444275,7.328244209,61.93548203,33.5,0.465277791,0,0,6,6,30,20,2,33.33333206,28.47328186,67.45027161,12,0.400000006,0,0,15,32,210,15.23809528,1,6.666666508,32.2137413,59.60451889,89,0.423809528,25.66666603,12.22222233,19,64,2.35E-05,0,33,2.35E-05,0.000215,0.038748149,19,1717410,380139,0.077339061,0.335961193,506.3087463,0,2.34E-13,263.6451416,14.33333397,0.230094224,0.000762777,13.3635788,0.890905261,0.237245649,0.399158746,1,10,102,1,0,1,0,3,1,17,0,3,1,3,31,1,3,3,36,0,0,1,2,25,3,3,36,53,13,0.58,18,49,1,45,3,3,1,0,2,0,8,1,6,2.666666667,1,15,11.33333333,9,1,1,1,0,0,0,0,0
2.732447863,0.683111966,0.902102232,0.08330489,10,10,90,11.11111069,2,100,2.595419884,79.06977081,1,0.5,0,0,2,1,2,50,1,50,6.488549709,86.73469543,0.5,0.25,0,0,4,5,12,41.66666794,1,25,7.862595558,73.04964447,3.5,0.291666657,0,0,12,11,0,1.64E-05,23,1.64E-05,1.23E-05,0.04,12,958158,1717410,0.077040829,0.336670905,0,0,2.34E-13,237.7326355,7.500000477,0.000762777,0.132208079,3.13832283,0.784580708,0.45344305,0.096767597,1,11,267,6,1,2,1,34,3,18,9,6,3,10,95,1,10,29,42,0,1,7,8,88,29,15,44,146,64,0.65,26,108,6,74,0,1,3,95,1,0,0,1,6,3.8,0,10,4.7,1,6,3.1,1,3,1.692307692,0,0,0
1.854037285,0.618012428,0.89215517,0.100830004,2,1,2,50,0,0,0,0,0,0,0,0,3,2,6,33.33333206,1,33.33333206,1.374045849,58.06451797,2,0.333333343,0,0,3,2,6,33.33333206,1,33.33333206,1.374045849,58.06451797,2,0.333333343,0,0,23,0,0,8.55E-06,12,8.55E-06,3.65E-08,0.00136,23,1012925,1717410,0.076277651,0.077040695,0,0,2.34E-13,7.500000477,1,0.000762777,0.120654665,2.678674936,0.892891645,0.414334267,0.024290999,0,1,26,1,1,1,0,1,1,4,0,3,1,1,20,1,1,1,3,0,0,1,0,0,1,1,3,4,0,5,2,3,1,2,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0
7.290266991,0.810029685,0.479901165,0.152643144,2,1,2,50,0,0,0,0,0,0,0,0,9,19,72,26.38888931,1,11.11111069,19.84732819,54.85232162,26.5,0.368055552,0,0,9,19,72,26.38888931,1,11.11111069,19.84732819,54.85232162,26.5,0.368055552,0,0,33,0,6.41E-06,4.28E-06,15,1.07E-05,0.000274,0.001957404,33,1014232,1716100,0.076277651,0.34461078,0,7.29E-05,2.34E-13,301.6535339,1,0.001525553,0.120527536,7.816382885,0.868486941,0.196676075,0.084213972,0,7,70,3,0,1,1,7,2,9,4,1,2,4,26,1,4,7,10,0,0,3,4,17,7,4,11,36,14,0.72,8,25,3,13,0,0,2,25,1,0,1,1,3,2.5,2,3,2,1,3,1.75,1,2,1.166666667,0,0,0
8.536376953,0.853637695,0.356220752,0.161987469,13,20,156,12.82051277,3,30,23.66412163,67.53812408,40,0.444444448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,90,11.11111069,3,30,23.66412163,67.53812408,40,0.444444448,0,0,0,23,0,2.78E-05,39,2.78E-05,0.000283,0.057128601,0,935905,1717410,0.136720672,0.076277651,0,0,2.34E-13,1,173.3247986,0.000762777,0.141056314,9.700476646,0.970047712,0.119211316,0.074700683,1,4,46,2,0,1,0,3,2,9,1,4,2,2,30,1,2,3,5,0,0,2,1,4,3,2,5,12,3,2.5,4,8,2,4,0,1,2,0,1,0,0,1,26,13,0,4,2.5,1,2,1.5,1,1,0.75,0,0,0
