EffSize,Efficiency,Constraint,Hierarchy,Size(in),Ties(in),Pairs(in),Densit(in),nWeakC(in),pWeakC(in),2StepR(in),ReachE(in),Broker(in),nBroke(in),EgoBet(in),nEgoBe(in),Size(out),Ties(out),Pairs(out),Densit(out),nWeakC(out),pWeakC(out),2StepR(out),ReachE(out),Broker(out),nBroke(out),EgoBet(out),nEgoBe(out),Size(un),Ties(un),Pairs(un),Densit(un),nWeakC(un),pWeakC(un),2StepR(un),ReachE(un),Broker(un),nBroke(un),EgoBet(un),nEgoBe(un),OutDeg,Indeg,nOutdeg,nIndeg,Degree,nDegree,Eigenvec,nEigenvec,Power,inFarness,outFarness,InClose,OutClose,Between,nBetweenness,Inforcent,OutdwReach,IndwReach,nOutdwReach,nIndwReach,EffSize(g),Efficiency(g),Constraint(g),Hierarchy(g),CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,label,defect
4.858592033,0.809765339,0.795031905,0.214589313,6,16,30,53.33333206,1,16.66666603,45.2034874,47.33637619,7,0.233333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,30,53.33333206,1,16.66666603,45.2034874,47.33637619,7,0.233333334,0,0,0,19,0,3.89E-05,19,3.89E-05,0.00134,0.189613238,0,131625,474032,0.522697031,0.145137876,0,0,1.29E-13,1,202.2545776,0.001451379,0.293548018,4.985445499,0.830907583,0.34256497,0.371595055,0,3,16,3,0,3,0,5,3,3,1,0,3,1,0,1,3,5,4,0,3,3,3,6,5,5,3,13,5,0,3,8,3,5,0,2,3,77,1,0,0,1,4,1.333333333,0,2,1.333333333,1,3,1,0,7,1.666666667,0,0,0
1.278966069,0.426322043,1.542624474,0.313497782,3,3,6,50,1,33.33333206,43.8953476,69.26605225,1.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,50,1,33.33333206,43.8953476,69.26605225,1.5,0.25,0,0,0,17,0,3.48E-05,17,3.48E-05,0.00253,0.357937902,0,132352,474032,0.519825935,0.145137876,0,0,1.29E-13,1,196.0378723,0.001451379,0.284525216,2.454597473,0.818199158,0.713568389,0.86982578,0,1,39,1,0,1,0,1,1,1,0,0,1,1,34,1,1,1,3,0,0,1,1,0,1,1,3,4,0,8.5,1,3,1,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
3.872272253,0.484034032,0.796474397,0.370927244,2,2,2,100,1,50,27.4709301,87.5,0,0,0,0,7,27,42,64.2857132,1,14.28571415,47.09302139,32.40000153,7.5,0.178571433,0,0,8,36,56,64.2857132,1,12.5,47.2383728,31.52279282,10,0.178571433,0,0,76,13,0.000155585,2.66E-05,79,0.000162,0.0113,1.599873304,76,133225,173499,0.51641959,0.396544069,0,0,1.29E-13,167.7164917,175.461731,0.243420169,0.254661441,4.070978642,0.50887233,0.382448137,0.466434687,0,3,303,2,0,1,0,41,1,3,0,0,1,40,88,1,40,41,84,26,1,2,14,45,41,40,49,170,44,0.52,49,93,2,51,0,40,1,22,4,0,4,1,7,1.625,0,6,1.85,0,2,1.025,1,1,0.071428571,0,0,0
8.471957207,0.705996454,0.502994001,0.293305516,0,0,0,0,0,0,0,0,0,0,0,0,12,53,132,40.15151596,1,8.333333015,48.40116119,26.83319855,39.5,0.299242437,0,0,12,53,132,40.15151596,1,8.333333015,48.40116119,26.83319855,39.5,0.299242437,0,0,87,0,0.000178104,0,87,0.000178104,0.00996,1.408156991,87,474032,171400,0.145137876,0.401400238,0,0,1.29E-13,175.51651,1,0.254740953,0.001451379,9.449219704,0.787434936,0.197316155,0.343774498,7,7,416,5,0,1,0,63,2,7,5,0,2,37,55,8,37,60,129,0,19,7,30,168,60,41,120,323,130,0.17,38,250,5,186,0,32,2,87,2,2,12,2,9,2.297297297,0,18,3.702702703,0,8,1.756756757,1,3,0.543478261,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,0.290697664,100,0,0,0,0,1,0,0,0,1,100,0.290697664,100,0,0,0,0,18,0,3.68E-05,0,18,3.68E-05,4.28E-10,6.06E-08,18,474032,473344,0.145137876,0.145348832,0,0,1.29E-13,2,1,0.002902758,0.001451379,1,1,1,1,0,10,62,4,0,1,0,5,3,10,1,0,3,2,31,1,2,5,11,0,0,4,2,15,5,2,11,28,11,1.11,4,22,4,16,0,1,3,0,2,0,1,1,5,3,1,14,7.5,1,6,3.5,1,1,0.75,0,0,0
2,1,0.764462829,0.834923923,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,100,2.180232525,100,1,0.5,0,0,2,0,2,0,2,100,2.180232525,100,1,0.5,0,0,22,0,4.50E-05,0,22,4.50E-05,4.33E-06,0.000612,22,474032,172550,0.145137876,0.398725003,0,0,1.29E-13,122.6666946,1,0.17803584,0.001451379,2,1,0.764462829,0.834923923,1,19,156,14,0,2,0,30,5,19,2,0,5,5,32,2,5,27,27,1,3,14,3,69,27,10,28,113,57,0.28,12,85,14,56,0,3,6,83,2,0,4,2,6,2.8,1,15,7.4,1,66,19.4,1,5,2.5,0,0,0
2,1,0.500365257,0.002105568,2,0,2,0,2,100,0.436046511,100,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,100,0.436046511,100,1,0.5,0,0,0,37,0,7.57E-05,37,7.57E-05,4.42E-08,6.26E-06,0,472656,474032,0.145560414,0.145137876,0,0,1.29E-13,1,3,0.001451379,0.004354137,2,1,0.500365257,0.002105568,0,9,122,13,0,2,4,20,3,9,0,0,2,7,32,2,7,14,22,0,6,14,7,51,19,16,23,82,39,0.39,10,62,8,46,0,7,3,75,1,2,0,1,4,2.857142857,2,13,2.714285714,1,24,4.285714286,1,4,1.2,0,0,0
10.96869469,0.843745708,0.589048505,0.529138505,3,0,6,0,3,100,3.924418688,93.10344696,3,0.5,0,0,10,33,90,36.66666794,1,10,47.96511459,31.63950157,28.5,0.316666663,0,0,13,40,156,25.64102554,2,15.38461494,49.8546524,31.99626923,58,0.371794879,16,10.2564106,59,8,0.000120783,1.64E-05,67,0.000137,0.00268,0.379507512,59,133909,173488,0.513781726,0.396569222,518.6168213,0.109723948,1.29E-13,170.3831787,117.4765625,0.247290537,0.17050299,11.01361561,0.847201169,0.379553527,0.66832459,2,10,188,15,0,2,0,30,3,11,1,0,3,10,47,2,10,29,28,0,2,16,8,69,29,16,28,118,54,0.4,23,82,15,51,1,9,3,60,1,0,10,2,6,2.8,0,32,6.5,2,100,11.4,1,4,1.307692308,0,1,1
11.19635487,0.746423662,0.451787233,0.314082533,13,55,156,35.25640869,1,7.692307472,48.83720779,36.20689774,50.5,0.323717952,1,0.641025662,5,18,20,90,1,20,47.09302139,34.43145752,1,0.050000001,0,0,15,91,210,43.33333206,1,6.666666508,62.6453476,29.99304199,59.5,0.283333331,1.476190448,0.702947855,20,68,4.09E-05,0.000139207,79,0.000161726,0.00774,1.094810843,20,133175,173502,0.516613483,0.396537215,24.23364449,0.005127121,1.29E-13,166.5498352,186.3283234,0.241726905,0.270432979,11.52213383,0.768142223,0.197830021,0.296138495,0,3,79,1,0,1,0,7,1,4,0,1,1,7,40,1,7,7,12,0,1,1,7,9,7,7,12,28,8,1.43,12,20,1,12,0,7,1,71,4,0,1,1,14,4.142857143,0,3,2,1,1,1,1,0,0,0,0,0
10.15202141,0.725144386,0.372831523,0.207385331,2,2,2,100,1,50,40.9883728,82.69794464,0,0,0,0,13,99,156,63.46154022,1,7.692307472,47.6744194,21.3820076,28.5,0.182692304,23,14.7435894,14,108,182,59.3406601,1,7.142857075,47.6744194,20.5771637,37,0.203296706,25.92619133,14.24515915,38,6,7.78E-05,1.23E-05,43,8.80E-05,0.00382,0.540376663,38,133040,173448,0.517137706,0.396660656,4868.547363,1.030040264,1.29E-13,175.8498383,195.0378723,0.255224735,0.283073843,10.54874897,0.753482044,0.164141834,0.216646597,0,9,101,5,0,1,1,9,2,10,1,0,2,5,29,1,5,9,28,0,2,5,5,35,9,5,29,60,21,0.48,12,50,5,40,0,4,2,53,3,0,10,1,6,3.2,1,14,6.6,3,5,1.8,1,3,1.285714286,0,0,0
